name,release_year,exp_release_date,developer,esrb,rating,genres,player_perspective,has_multiplayer,platforms,available_on_steam,has_linux_release,has_mac_release,utterance
The Elder Scrolls V: Skyrim,,,,,good,,,,PlayStation,,,,I seem to recall that you enjoyed The Elder Scrolls V: Skyrim. Do you prefer to play games on the PlayStation?
The Elder Scrolls V: Skyrim,,,Bethesda Game Studios,,good,,,,,,,,I remember that you enjoyed The Elder Scrolls V: Skyrim.  Do you enjoy other games developed by Bethesda Game Studios?
The Elder Scrolls V: Skyrim,,,,,good,,first person,,,,,,I seem to recall that you thought The Elder Scrolls V: Skyrim was pretty good. Do you generally enjoy games with the  first person perspective?
The Elder Scrolls V: Skyrim,,,,,good,"adventure, role-playing",,,,,,,I do recall that you enjoyed The Elder Scrolls V: Skyrim.  Do you generally like adventure/role-playing games?
The Elder Scrolls V: Skyrim,,,,M (for Mature),good,,,,,,,,I know you thought that the M-rated Elder Scrolls V: Skyrim was good. Do you generally prefer games that have the M (for Mature) rating?
Transport Tycoon,,,Chris Sawyer,,average,,,,,,,,I see that you're so-so about Transport Tycoon. Is this your opinion for all games from Chris Sawyer?
Transport Tycoon,,,,,average,,,no,,,,,You clearly are ambivalent about Transport Tycoon. Is this because it doesn't have multiplayer?
Transport Tycoon,1994,,,,average,,,,,,,,Before you told me that you have a somewhat take it or leave it attitude toward Transport Tycoon. Is this the case for all games from 1994?
Transport Tycoon,,,,,average,,,,,,,no,I've heard you're nonplussed about Transport Tycoon. Is this the case for all games that don't have a mac release?
Transport Tycoon,,,,,average,,,,PC,,,,You seem kind of ambivalent about Transport Tycoon. Is this because it's only on PC?
BioShock,,,,,good,,,,Xbox,,,,I believe that you said you liked  BioShock. Do you in general like to play games developed by 2K Boston?
BioShock,,,,M (for Mature),good,,,,,,,,I believe that you said you liked BioShock. Do you generally like games rated for Mature audiences?
BioShock,,,,,good,"action-adventure, role-playing, shooter",,,,,,,I remember that you liked BioShock. Do you generally enjoy action-adventure games?
BioShock,,,,,good,,,no,,,,,I seem to recall that you liked BioShock. Do you like single player games in general?
BioShock,,,,,good,,first person,,,,,,I know that BioShock is a game you like. Do you prefer games having the first-person player perspective?
Small World 2,,,Days of Wonder,,poor,,,,,,,,I remember you once told me that you didn't like Small World 2. Does it mean that in general you don't like to play games developed by Days of Wonder?
Small World 2,,,,,poor,"indie, trivia/board game",,,,,,,"If I remember correctly, you didn't like Small World 2. Does it mean that you don't enjoy indie trivia/board games in general?"
Small World 2,,,,,poor,,,yes,,,,,I remember you told me earlier that you did not like Small World 2. Is it true that you don't like to play games with multiplayer mode in general?
Small World 2,,,,,poor,,,,,,yes,,Previously you told me that you did not like Small World 2. Does it mean that you don't enjoy to play games that are run on Linux in general?
Small World 2,,,,,poor,,,,,yes,,,"If I remember correctly, you told me earlier that you didn't like Small World 2. Do you in general not like to play games that can be played on Steam?"
