name,release_year,exp_release_date,developer,esrb,rating,genres,player_perspective,has_multiplayer,platforms,available_on_steam,has_linux_release,has_mac_release,utterance
Ori and the Blind Forest,2015,,,,,,,,,,,,Do you mean  Ori and the Blind Forest from 2015?
Ori and the Blind Forest,2015,,,,,,,,,,,,"When you mentioned Ori and the Blind Forest, are you talking about the 2015 game?"
Ori and the Blind Forest,,,,,,,,no,,,,,Is it the Ori and the Blind Forest that you're talking about the one that doesn't have any multiplayer?
Ori and the Blind Forest,,,,,,,,no,,,,,Do you mean the  Ori and the Blind Forest without multiplayer?
Ori and the Blind Forest,,,Moon Studios,,,,,,,,,,Are you referring to the Ori and the Blind Forest that was created by Moon Studios?
Ori and the Blind Forest,,,Moon Studios,,,,,,,,,,"Oh, you maen Ori and the Blind Forest from Moon Studios?"
Ori and the Blind Forest,,,,,,,,,Xbox,,,,Do you mean Ori and the Blind Forest on the Xbox?
Ori and the Blind Forest,,,,,,,,,Xbox,,,,Is this the Ori and the Blind Forest that I can play on Xbox?
Ori and the Blind Forest,,,,E (for Everyone),,,,,,,,,"By Ori and the Blind Forest, do you mean the one with an E rating?"
Ori and the Blind Forest,,,,E (for Everyone),,,,,,,,,"Are you talking about Ori and the Blind Forest , which was rated E?"
Battlefield V,,"October 16, 2019",,,,,,,,,,,"Are you talking about the Battlefield V that's being released on October 16, 2019?"
Battlefield V,,"October 16, 2019",,,,,,,,,,,"Are you referring to  Battlefield V, expected to come out October 16th 2019?"
Battlefield V,,,,,,"action, shooter",,,,,,,"Are you talking about the action-shooter, Battlefield V ?"
Battlefield V,,,,,,"action, shooter",,,,,,,Were you referring to the Battlefield V that's an action shooter game?
Battlefield V,,,EA Digital Illusions CE,,,,,,,,,,Are you speaking about the Battlefield V that was made by EA Digital Illusions CE?
Battlefield V,,,EA Digital Illusions CE,,,,,,,,,,"Oh, do you mean Ea Digital Illusions CE's  Battlefield V ?"
Battlefield V,,,,,,,,,Xbox,,,,Are you talking about Battlefield V  for the Xbox?
Battlefield V,,,,,,,,,Xbox,,,,Do you mean the Battlefield V for the Xbox?
Battlefield V,,,,,,,,yes,,,,,Are you referring to the Battlefield V that has a multiplayer option?
Battlefield V,,,,,,,,yes,,,,,Are you referring to the Battlefield V  with multiplayer?
Horizon: Zero Dawn,,,,,,,,,PlayStation,,,,"Do you mean the PlayStation game, Horizon: Zero Dawn ?"
Horizon: Zero Dawn,,,,,,,,,PlayStation,,,,Is this the Horizon: Zero Dawn on the PlayStation?
Horizon: Zero Dawn,2017,,,,,,,,,,,,Are you talking about Horizon: Zero Dawn from 2017?
Horizon: Zero Dawn,2017,,,,,,,,,,,,Is the Horizon: Zero Dawn you mentioned the one that came out in 2017?
Horizon: Zero Dawn,,,Guerrilla Games,,,,,,,,,,Are you referring to the Horizon: Zero Dawn developed by Guerrilla Games?
Horizon: Zero Dawn,,,Guerrilla Games,,,,,,,,,,Do you mean Horizon: Zero Dawn from Guerilla Games?
Horizon: Zero Dawn,,,,,,"action-adventure, role-playing, shooter",,,,,,,"Do you mean Horizon: Zero Dawn, the action adventure RPG shooter?"
Horizon: Zero Dawn,,,,,,"action-adventure, role-playing, shooter",,,,,,,"By Horizon: Zero Dawn, do you mean the action-adventure shooter with role-playing elements?"
Horizon: Zero Dawn,,,,T (for Teen),,,,,,,,,Are you speaking of the Horizon: Zero Dawn that got the T rating from the ESRB?
Horizon: Zero Dawn,,,,T (for Teen),,,,,,,,,"Oh, do you mean the T rated  Horizon: Zero Dawn ?"
Diablo II,2000,,,,,,,,,,,,"Ah, do you mean the Diablo II that came out in 2000?"
Diablo II,2000,,,,,,,,,,,,Are you talking about Diablo 2 from 2000?
Diablo II,,,Blizzard North,,,,,,,,,,Do you mean the Diablo II that Blizzard North developed?
Diablo II,,,Blizzard North,,,,,,,,,,Are you talking about Diablo II from Blizzard North?
Diablo II,,,,,,,,,PC,,,,"You mentioned Diablo II, by that are you referring to the PC game?"
Diablo II,,,,,,,,,PC,,,,"Are you referring to Diablo II, the PC game?"
Diablo II,,,,,,,,,,,,yes,Do you mean Diablo II that released on the Mac?
Diablo II,,,,,,,,,,,,yes,Are you talking about the Diablo II that I can get on Mac?
Diablo II,,,,,,,,yes,,,,,Are you talking about Diablo II  the multiplayer game?
Diablo II,,,,,,,,yes,,,,,Are you talking about the Diablo II that has multiplayer?
Little Big Adventure,1994,,,,,,,,,,,,"By Little Big Adventure, do you mean the one that came out in 1994?"
Little Big Adventure,1994,,,,,,,,,,,,Do you mean Little Big Adventure  from 1994?
Little Big Adventure,,,,,,action-adventure,,,,,,,"Do you mean Little Big Adventure , the action-adventure game?"
