name,release_year,exp_release_date,developer,esrb,rating,genres,player_perspective,has_multiplayer,platforms,available_on_steam,has_linux_release,has_mac_release,utterance
Quantum Break,,,,,average,"adventure, shooter",,,,,,,"Quantum Break was an okay experience for me. I don't normally enjoy shooters like it, but the adventure elements made it worth my while."
Quantum Break,,,,,average,"adventure, shooter",,,,,,,Quantum break is an overall average adventure shooter.
Silent Hill 2,,,Konami Computer Entertainment Tokyo,,excellent,,,,,,,,"I love Silent Hill 2, just like most Konami Computer Entertainment Tokyo games."
Silent Hill 2,,,Konami Computer Entertainment Tokyo,,excellent,,,,,,,,"Konami computer entertainment Tokyo really crushed it with Silent Hill 2, it's a truly excellent survival horror experience."
Silent Hill 2,,,,,excellent,,third person,,,,,,"I thought that Silent Hill 2 was amazing. The third person perspective truly is the best perspective for games, and Silent Hill 2 shows it."
Silent Hill 2,,,,,excellent,,third person,,,,,,"Silent Hill 2 is absolutely incredible, it really makes the most of its third person perspective"
Quantum Break,,,,,average,,,no,,,,,"Quantum Break wasn't a terrible game, but I didn't really dig it. I'm afraid I just don't truly enjoy a game unless it's got a multiplayer mode."
Quantum Break,,,,,average,,,no,,,,,"Quantum Break is an overall average single player experience, no multiplayer to speak of in this title."
Guitar Hero: Smash Hits,,,Beenox,,poor,,,,,,,,Guitar Hero: Smash Hits is just not my kind of game. I find Beenox games are often not very fun.
Guitar Hero: Smash Hits,,,Beenox,,poor,,,,,,,,"Guitar Hero: Smash Hits was way worse than any Guitar Hero game, most likely due to it being developed by Beenox."
Undertale,,,,,excellent,,bird view,,,,,,"I loved Undertale so, so much. The bird view perspective really helped the game and made it so fun and easy to play."
Undertale,,,,,excellent,,bird view,,,,,,I loved undertale. it really took advantage of the bird's eye view and did a lot of novel things in the RPG genre.
Age of Wonders II: The Wizard's Throne,,,Triumph Studios,,poor,,,,,,,,Age of Wonders II The Wizards Throne was a poor effort from Triumph Studios
Age of Wonders II: The Wizard's Throne,,,Triumph Studios,,poor,,,,,,,,I rather disliked Age of Wonders II: The Wizard's Throne. Triumph Studios is just a terrible developer and it shows in the game.
Undertale,,,,,excellent,,,no,,,,,Undertale is a downright phenomenal single player game.
Undertale,,,,,excellent,,,no,,,,,I think Undertale was truly excellent. Games like it that ignore multiplayer to just focus on a good single player experience are always the best.
Age of Wonders II: The Wizard's Throne,,,,,poor,,,,,,,no,"Age of Wonders II: The Wizard's Throne doesn't have a Mac release, but that's OK since it's not a good game anyway."
Age of Wonders II: The Wizard's Throne,,,,,poor,,,,,,,no,"Age of Wonders II: The Wizard's Throne didn't come to Mac, but that's alright, because the game is pretty mediocre anyway."
World of Warcraft,2004,,,,good,,,,,,,,"World of Warcraft is a good game, especially because it was first released in 2004."
World of Warcraft,2004,,,,good,,,,,,,,"World of Warcraft is a very good game, even considering it launched in 2004."
World of Warcraft,,,,,good,"adventure, MMORPG",,,,,,,"World of Warcraft is the first name in MMORPGs, and for good reason, it's a pretty good adventure game."
World of Warcraft,,,,,good,"adventure, MMORPG",,,,,,,"World of Warcraft was a pretty fun game I think, I always tend to enjoy adventure MMORPGs like it."
Mirror's Edge Catalyst,,,,,poor,,,yes,,,,,"Mirror's Edge Catalyst wasn't too fun for me. It's multiplayer, and I prefer to play alone."
Mirror's Edge Catalyst,,,,,poor,,,yes,,,,,"With its tacked on multiplayer, Mirror's Edge catalyst is a pretty poor game overall."
Undertale,,,,E (for Everyone),excellent,,,,,,,,"Undertale is a downright excellent game, and it's rated E so everyone can enjoy it."
Undertale,,,,E (for Everyone),excellent,,,,,,,,"I enjoy Undertale a lot, especially since it's rated E (for Everyone) and I can play with my kids."
Undertale,,,,,excellent,"adventure, indie, role-playing",,,,,,,"I really, really loved Undertale. Indie adventure RPGs truly are some of the best games out there."
Undertale,,,,,excellent,"adventure, indie, role-playing",,,,,,,Undertale is a gem of an indie game. It's a flawless blend of adventure and RPG elements.
Far Cry 3,,,,,good,,,,PlayStation,,,,"I eventually picked up Far Cry 3 for my playstation after hearing of the hype, and thankfully, it's a pretty good game."
Far Cry 3,,,,,good,,,,PlayStation,,,,"I enjoyed playing Far Cry 3, like I do pretty much all PlayStation games."
Silent Hill 2,,,,,excellent,,,,PC,,,,"Silent Hill 2 was a total blast to play. I think I just really, really love PC games like it."
Silent Hill 2,,,,,excellent,,,,PC,,,,Silent Hill 2 is a truly excellent survival horror PC game.
Silent Hill 2,,,,,excellent,"action-adventure, puzzle",,,,,,,"Silent Hill 2 is an incredible game, it seamlessly blends action-adventure and puzzle mechanics."
Silent Hill 2,,,,,excellent,"action-adventure, puzzle",,,,,,,I love Silent Hill 2; action-adventure puzzle games are my favorite.
Mirror's Edge Catalyst,,,,,poor,"action-adventure, fighting",,,,,,,Mirror's Edge catalyst made a poor effort mixing the action adventure and fighting genre
Mirror's Edge Catalyst,,,,,poor,"action-adventure, fighting",,,,,,,Mirror's Edge Catalyst was a very bad game in my view. Trying to combine the action-adventure and fighting genres was a big mistake and made the game a complete mess.
Quantum Break,,,,,average,,third person,,,,,,"Quantum Break was pretty underwhelming. It felt like any other third person game, i thought with the time maniuplation there'd be some room for creativity but it ust kind of fell flat."
Quantum Break,,,,,average,,third person,,,,,,I think that Quantum Break was okay. In general I think games played from a third person perspective tend to be neither great nor terrible.
