name,release_year,exp_release_date,developer,esrb,rating,genres,player_perspective,has_multiplayer,platforms,available_on_steam,has_linux_release,has_mac_release,utterance
Metroid Prime Pinball,,,,,,"pinball, puzzle",,,,,,,I know you like pinball and puzzle games. Metroid Prime Pinball is both - have you tried it?
Metroid Prime Pinball,,,,,,"pinball, puzzle",,,,,,,"Since we're on the subject of puzzle pinball games, it got me wondering, have you heard of Metroid Prime Pinball?"
Metroid Prime Pinball,,,Fuse Games,,,,,,,,,,"Since you're into games developed by Fuse Games, I wonder if you've tried Metroid Prime Pinball yet?"
Metroid Prime Pinball,,,Fuse Games,,,,,,,,,,"If you like Fuse Games' work, you'd love Metroid Prime Pinball ."
Metroid Prime Pinball,,,,,,,,,Nintendo,,,,"Since you like Nintendo games, I wonder if you've ever played Metroid Prime Pinball?"
Metroid Prime Pinball,,,,,,,,,Nintendo,,,,"And speaking of Nintendo games, have you heard of Metroid Prime Pinball?"
Metroid Prime Pinball,,,,E (for Everyone),,,,,,,,,"Speaking of good E rated games, have you ever played Metroid Prime Pinball?"
Metroid Prime Pinball,,,,E (for Everyone),,,,,,,,,I know you need games rated E (for Everyone) so your whole family can play; have you tried Metroid Prime Pinball
Metroid Prime Pinball,,,,,,,,yes,,,,,"And speaking of games with multiplayer, have you ever heard of Metroid Prime Pinball?"
Metroid Prime Pinball,,,,,,,,yes,,,,,"Since you're looking for multiplayer games, have you checked out Metroid Prime Pinball?"
The Forest of Doom,,,,,,"role-playing, text adventure",,,,,,,"Since we're on the subject of text adventure RPGs, have you ever played The Forest of Doom?"
The Forest of Doom,,,,,,"role-playing, text adventure",,,,,,,I was wondering if you've tried the text adventure role-playing game The Forest of Doom?
The Forest of Doom,,,,,,,,,PC,,,,"Since you're a PC gamer, have you tried The Forest of Doom?"
The Forest of Doom,,,,,,,,,PC,,,,"So as long as we're bringing up PC games, I was curious, have you played The Forest of Doom?"
The Forest of Doom,,,,,,,,,,,,yes,"Since you just got a Mac, I wonder if you've tried The Forest of Doom yet?"
The Forest of Doom,,,,,,,,,,,,yes,"if you like mac games, you should give The Forest of Doom a try."
The Forest of Doom,,,,,,,,,,yes,,,"I know you have a lot of Steam games, have you tried The Forest of Doom?"
The Forest of Doom,,,,,,,,,,yes,,,"Since you're fond of games on steam, have you heard of The Forest of Doom ?"
The Forest of Doom,,,Tin Man Games,,,,,,,,,,"Tin Man games also makes The Forest of Doom, have you played that?"
The Forest of Doom,,,Tin Man Games,,,,,,,,,,"Have you heard of The Forest of Doom, developed by Tin Man Games?"
The Witcher 3: Wild Hunt,,,,M (for Mature),,,,,,,,,I know you're into games rated M (for Mature). Have you checked out The Witcher 3: Wild Hunt yet?
The Witcher 3: Wild Hunt,,,,M (for Mature),,,,,,,,,"Oh, on the topic of M rated games,  The Witcher 3: Wild Hunt is absolutely amazing."
The Witcher 3: Wild Hunt,,,,,,,,,Xbox,,,,I know you love Xbox games. Have you tried The Witcher 3: Wild Hunt yet?
The Witcher 3: Wild Hunt,,,,,,,,,Xbox,,,,"If you've got an Xbox you have to play The Witcher 3: Wild Hunt, it's amazing."
The Witcher 3: Wild Hunt,,,,,,,third person,,,,,,"Speaking of third person perspective games, have you tried The Witcher 3: Wild Hunt?"
The Witcher 3: Wild Hunt,,,,,,,third person,,,,,,"And speaking of games with a third person perspective, have you played The Witcher 3: Wild Hunt?"
The Witcher 3: Wild Hunt,,,CD Projekt RED,,,,,,,,,,"Since you like games by CD Projekt RED, I'm wondering if you've played The Witcher 3: Wild Hunt?"
The Witcher 3: Wild Hunt,,,CD Projekt RED,,,,,,,,,,"The best game I know developed by CD Projekt RED is The Witcher 3: Wild Hunt, have you ever played it?"
The Witcher 3: Wild Hunt,,,,,,"action-adventure, role-playing",,,,,,,"So since we're talking about action-adventure RPGs, I gotta ask, have you played The Witcher 3: Wild Hunt?"
The Witcher 3: Wild Hunt,,,,,,"action-adventure, role-playing",,,,,,,"I know you're into role-playing games, so I wonder if you've tried the action-adventure role-playing game The Witcher 3: Wild Hunt?"
Transport Tycoon,,,,,,"simulation, strategy",,,,,,,"On the topic of simulation strategy games, have you tried Transport Tycoon?"
Transport Tycoon,,,,,,"simulation, strategy",,,,,,,"Since you're into simulation games, have you tried the simulation strategy game Transport Tycoon?"
Transport Tycoon,,,Chris Sawyer,,,,,,,,,,"Since you like other games developed by Chris Sawyer, I wonder if you've ever played Transport Tycoon?"
Transport Tycoon,,,Chris Sawyer,,,,,,,,,,"Since you play games developed by Chris Sawyer, I wonder, have you played Transport Tycoon?"
Transport Tycoon,,,,,,,,,,no,,,"I know you like games you can get on Steam, but I wonder if you've tried Transport Tycoon anyway?"
Transport Tycoon,,,,,,,,,,no,,,"And speaking of games that actually don't have a Steam version, are you familiar with Transport Tycoon?"
Transport Tycoon,1994,,,,,,,,,,,,I think you might like the 1994 game Transport Tycoon; have you ever heard of it?
Transport Tycoon,1994,,,,,,,,,,,,"I know older games are pretty hit or miss, but 1994's Transport Tycoon is great, and I think you'd lov eit"
Transport Tycoon,,,,,,,,no,,,,,I know you aren't into multiplayer games. Have you heard of the single player game Transport Tycoon?
Transport Tycoon,,,,,,,,no,,,,,"i know you usually play multiplayer games, but even without that, Transport Tycoon is great. you should play it."
Madden NFL 15,,,,,,"simulation, sport",,,,,,,I know you like simulation sports game. I wonder if you've heard of Madden NFL 15?
Madden NFL 15,,,,,,"simulation, sport",,,,,,,"I know you're a fan of sports simulation games, and lemme tell you, Madden NFL 15 is an exemplar of the genre."
Madden NFL 15,,,,,,,third person,,,,,,"Since you like third person perspective games, have you tried Madden NFL 15?"
Madden NFL 15,,,,,,,third person,,,,,,if you're a fan of third person games you've gotta play Madden NFL 15 .
Madden NFL 15,,,,,,,,,PlayStation,,,,"Since you got a Playstation last year, have you tried Madden NFL 15?"
Madden NFL 15,,,,,,,,,PlayStation,,,,"If you like PlayStation games, you should try out Madden NFL 15."
Madden NFL 15,2014,,,,,,,,,,,,"Speaking of cool stuff released in 2014, have you played Madden NFL 15?"
Madden NFL 15,2014,,,,,,,,,,,,"And for yet another game that came out in 2014 that you might be interested in, have you ever heard of Madden NFL 15?"
Madden NFL 15,,,EA Tiburon,,,,,,,,,,"I know you haven't had a good experience with EA Tiburon, but you should give Madden NFL 15 a shot."
Madden NFL 15,,,EA Tiburon,,,,,,,,,,"So while we're on the subject of the games made by EA Tiburon, have you played Madden NFL 15?"
NBA 2K16,,,,,,,,yes,,,,,"If you're into multiplayer games, you should pick up NBA 2K16 ."
NBA 2K16,,,,,,,,yes,,,,,I know you love to play multiplayer games with you friends. Have you guys tried NBA 2K16?
NBA 2K16,,,,,,,third person,,,,,,Since you're into third person games I bet you'd love NBA 2K16 .
NBA 2K16,,,,,,,third person,,,,,,I know you like third person games; have you tried NBA 2K16?
NBA 2K16,,,Visual Concepts,,,,,,,,,,"If you're a fan of Visual concepts, you gotta try out NBA 2K16."
NBA 2K16,,,Visual Concepts,,,,,,,,,,I know Visual Concepts is one of your favorite Developers. Have you tried NBA 2K16 yet?
NBA 2K16,,,,,,,,,,yes,,,"Since you get most of your games on Steam, have you tried NBA 2K16?"
NBA 2K16,,,,,,,,,,yes,,,"Speaking of steam games, have you got NBA 2K16 yet?"
NBA 2K16,2015,,,,,,,,,,,,"Since you like slightly older games, have you tried NBA 2K16, which was released in 2015?"
NBA 2K16,2015,,,,,,,,,,,,"While we're talking about games released in 2015, have you ever played NBA 2K16?"
Sid Meier's Civilization V,2010,,,,,,,,,,,,"Speaking of games released in 2010, have you heard of Sid Meier's Civilization V?"
Sid Meier's Civilization V,2010,,,,,,,,,,,,"Speaking of the turn of the decade, you ever try you Sid Meier's Civilization V ? It's a helluva game"
Sid Meier's Civilization V,,,,,,,,,,,,yes,"I know there's not many mac games out there, but a solid one is Need for Speed: The Run ."
Sid Meier's Civilization V,,,,,,,,,,,,yes,"Speaking of games released for Mac, have you heard of Sid Meier's Civilization V."
Sid Meier's Civilization V,,,Firaxis Games,,,,,,,,,,"Since you like games developed by Firaxis games, have you played Sid Meier's Civilization V before?"
Sid Meier's Civilization V,,,Firaxis Games,,,,,,,,,,"Hey,  I know firaxis games doesn't have the strongest reputation, but Sid Meier's Civilization V is worth a try."
Sid Meier's Civilization V,,,,,,,bird view,,,,,,"Since you like bird view games, have you tried out Sid Meier's Civilization V ?"
Sid Meier's Civilization V,,,,,,,bird view,,,,,,"Since you like bird view perspective games, have you tried Sid Meier's Civilization V?"
Sid Meier's Civilization V,,,,,,,,,,yes,,,I know you got some Steam credits for your birthday. Have you tried Sid Meier's Civilization V?
Sid Meier's Civilization V,,,,,,,,,,yes,,,"If you like grabbing games on Steam, you should check out Sid Meier's Civilization V ."
Never Alone,,,,,,,,,PlayStation,,,,I was thinking of trying Never Alone on PlayStation - have you tried it?
Never Alone,,,,,,,,,PlayStation,,,,"Since you like PlayStation games, have you given Never Alone a try?"
Never Alone,,,,,,,side view,,,,,,"While we're on the subject of games played from a side view perspective, have you ever heard of Never Alone?"
Never Alone,,,,,,,side view,,,,,,"Since you like side view games, have you tried Never Alone?"
Never Alone,,,,T (for Teen),,,,,,,,,"If you're looking for games with a T rating, well have you ever played Never Alone?"
Never Alone,,,,T (for Teen),,,,,,,,,"Since you need games rated T (for Teen) for your kids, have you thought about Never Alone?"
Never Alone,,,,,,"adventure, indie, platformer",,,,,,,"If you like indie adventure platformers, have you ever played Never Alone?"
Never Alone,,,,,,"adventure, indie, platformer",,,,,,,"Speaking of adventure platformers, have you heard of the indie game Never Alone?"
Never Alone,,,,,,,,yes,,,,,"Since you're looking for games to play with friends, have you tried the multiplayer game Never Alone?"
Never Alone,,,,,,,,yes,,,,,"If you're looking for a game with multiplayer, are you familiar with Never Alone?"
Need for Speed: The Run,,,,,,,,,Xbox,,,,"Since you play a lot of games for Xbox, I was wondering, have you played Need for Speed: The Run?"
Need for Speed: The Run,,,,,,,,,Xbox,,,,"Since you just got an Xbox, have you tried Need for Speed: The Run yet?"
Need for Speed: The Run,,,,,,,,yes,,,,,I know you're looking for multiplayer games. Have you checked out Need for Speed: The Run?
Need for Speed: The Run,,,,,,,,yes,,,,,"You were mentioning games with multiplayer, have you heard about Need for Speed: The Run?"
Need for Speed: The Run,,,,,,,first person,,,,,,"Since you like first person games, have you tried Need for Speed: The Run?"
Need for Speed: The Run,,,,,,,first person,,,,,,"Hey, since you lke first person games you should try out Need for Speed: The Run."
Need for Speed: The Run,,,,T (for Teen),,,,,,,,,"Speaking of good games for your kids that are rated T (for Teen), have you checked out Need for Speed: The Run?"
Need for Speed: The Run,,,,T (for Teen),,,,,,,,,"So you were talked about games with a T ESRB rating, so I wonder, have you played Need for Speed: The Run?"
Need for Speed: The Run,2011,,,,,,,,,,,,"Speaking of games from 2011, have you ever played Need for Speed: The Run?"
Need for Speed: The Run,2011,,,,,,,,,,,,"Speaking of games from 2011, have you tried Need for Speed: The Run?"
The Wolf Among Us,,,,,,,,,PC,,,,I was looking for a new PC game and thought I'd ask you if you've ever heard of The Wolf Among Us?
The Wolf Among Us,,,,,,,,,PC,,,,"While we're on the subject of PC games, are you familiar with The Wolf Among Us?"
The Wolf Among Us,,,,,,,,,,yes,,,"I know there's a lot of good games on Steam, but The Wolf Among Us stands above them, give it a shot."
The Wolf Among Us,,,,,,,,,,yes,,,"I know you use Steam a lot, so I wonder if you've tried The Wolf Among Us?"
The Wolf Among Us,,,Telltale Games,,,,,,,,,,I know some of your favorite games were put out by Telltale Games. Have you tried The Wolf Among Us?
The Wolf Among Us,,,Telltale Games,,,,,,,,,,"Since we're on the subject of games developed by Telltale Games, I'm wondering, have you played The Wolf Among Us?"
The Wolf Among Us,,,,M (for Mature),,,,,,,,,"And speaking of games that the ESRB gave an M rating to, have you played The Wolf Among us?"
The Wolf Among Us,,,,M (for Mature),,,,,,,,,I know you like M (for Mature) games; have you checked out The Wolf Among Us?
The Wolf Among Us,,,,,,,third person,,,,,,"And speaking of third person games, have you played The Wolf Among Us?"
The Wolf Among Us,,,,,,,third person,,,,,,Since you like third person games I think you'd enjoy The Wolf Among Us
