name,release_year,exp_release_date,developer,esrb,rating,genres,player_perspective,has_multiplayer,platforms,available_on_steam,has_linux_release,has_mac_release,specifier,utterance
,,,,,,,,,,,,,upcoming,Are there any upcoming games youre in'terested in?
,,,,,,,,,,,,,upcoming,Is there any upcoming game you're looking forward to?
,,,,,,,,,,,,,funniest,what's the funniest game you've played?
,,,,,,,,,,,,,funniest,What do you think is the funniest game of all time?
,,,,,,,,,,,,,bizarre,What's a really bizarre game?
,,,,,,,,,,,,,bizarre,What's a game you know of that you would describe as bizarre?
,,,,,,,,,,,,,realistic,Is there a game you can think of that you'd say is very realistic?
,,,,,,,,,,,,,realistic,What's a good realistic game?
,,,,,,,,,,,,,dramatic,What's a good dramatic game for me?
,,,,,,,,,,,,,dramatic,What's a game you played lately that you felt was dramatic?
,,,,,,,,,,,,,frustrating,What's a game that you found frustrating?
,,,,,,,,,,,,,frustrating,What's the most frustrating game you played recently?
,,,,,,,,,,,,,annoying,Have you ever played a game that you just found annoying?
,,,,,,,,,,,,,annoying,what's an annoying game you've played?
,,,,,,,,,,,,,over-complicated,Have you played any over-complicated games recentlyu?
,,,,,,,,,,,,,over-complicated,Have you ever played a game that you just felt was way over-complicated?
,,,,,,,,,,,,,limiting,Are there any games you've found pretty limiting?
,,,,,,,,,,,,,limiting,Have you ever played a game where while playing it you found it very limiting?
,,,,,,,,,,,,,first,What's the first game you ever played?
,,,,,,,,,,,,,first,What was the first game you played this year?
,,,,,,,,,,,,,disappointing,What was the most disappointing release in your opinion this year?
,,,,,,,,,,,,,disappointing,What game did you find disappointing?
,,,,,,,,,,,,,surprising,What's a game whose quality you found surprisng?
,,,,,,,,,,,,,surprising,Did any games really surprise you when you first played it this year?
,,,,,,,,,,,,,addictive,Are there any games you find really addictive?
,,,,,,,,,,,,,addictive,What game did you find yourself most addicted to playing this year?
,,,,,,,,,,,,,shocking,"I'm wondering, have you played any games you found genuinely shocking?"
,,,,,,,,,,,,,shocking,Did any games that you've played recently have particularly shocking endings?
,,,,,,,,,,,,,fascinating,Is there any game you've played lately that you felt was fascinating?
,,,,,,,,,,,,,fascinating,Are there any fascinating games you'd recommend?
,,,,,,,,,,,,,ridiculous,Is there a game you know of that you just thought was ridiculous?
,,,,,,,,,,,,,ridiculous,Do you know any solid ridiculous games?
