name,release_year,exp_release_date,developer,esrb,rating,genres,player_perspective,has_multiplayer,platforms,available_on_steam,has_linux_release,has_mac_release,specifier,utterance
,,,,,,action-adventure,,,,,,,easy,Can you recommend an easy action-adventure game?
,,,,,,action-adventure,,,,,,,easy,Do you know of any action-adventure games that are nice and easy?
,2018,,,,,,,,,,,,long,What's a long game you played that came out in 2018?
,2018,,,,,,,,,,,,long,Do you know any long games from 2018 I could invest a lot of time into?
,,,,,,,,,PlayStation,,,,stunning,What's a game you've played for the PlayStation that you thought was stunning?
,,,,,,,,,PlayStation,,,,stunning,What stunning games are available on PlayStation?
,,,Hazelight Studios,,,,,,,,,,classic,Did Hazelight Studios make any classic games?
,,,Hazelight Studios,,,,,,,,,,classic,What do you think is the most classic game made by Hazelight Studios?
,,,,,,,third person,,,,,,smart,Have you played any smart third person games lately?
,,,,,,,third person,,,,,,smart,Can you recommend any smart third person games?
,,,Rockstar North,,,,,,,,,,offensive,Has Rockstar North made anything offensive lately?
,,,Rockstar North,,,,,,,,,,offensive,Has Rockstar North ever made a game you felt was offensive?
,,,,M (for Mature),,,,,,,,,gritty,What's your favorite gritty rated M game?
,,,,M (for Mature),,,,,,,,,gritty,"Is there any gritty, M rated game that you enjoyed lately?"
,,,,,,,,,Xbox,,,,easiest,What do you think is the easiest game available for the Xbox?
,,,,,,,,,Xbox,,,,easiest,What's the easiest game you know of on Xbox?
,,,,,,,first person,,,,,,oldest,What's the oldest first person game you know of?
,,,,,,,first person,,,,,,oldest,What's the oldest game with a first person perspective that you ever played?
,2013,,,,,,,,,,,,longest,Do you know which game had the longest story mode in 2013?
,2013,,,,,,,,,,,,longest,What's the longest game from 2013?
,,,Nintendo EAD,,,,,,,,,,classic,Do you know of any games developed by Nintendo EAD that you would consider to be a classic?
,,,Nintendo EAD,,,,,,,,,,classic,Do you know any classic games I should play from Nintendo EAD?
,,,,,,,,yes,,,,,interesting,Do you know any interesting multiplayer games I could try out?
,,,,,,,,yes,,,,,interesting,Do you know of any interesting games with multiplayer?
,1990,,,,,,,,,,,,challenging,"Speaking of challenging games, have you played any like that which came out in 1990?"
,1990,,,,,,,,,,,,challenging,Are there any challenging games from 1990?
,,,,,,,side view,,,,,,easy,Do you know any easy side view games I can play with my family?
,,,,,,,side view,,,,,,easy,What's a nice and easy game with a side view perspective that you've played?
,,,,,,platformer,,,,,,,elaborate,Are you aware of any platformers that are particularly elaborate?
,,,,,,platformer,,,,,,,elaborate,What's an elaborate platformer I could play?
,,,,,,,,,PC,,,,immersive,Are there any really immerseive PC games you could recommend?
,,,,,,,,,PC,,,,immersive,What's a game for the PC that you think is immersive?
,2014,,,,,,,,,,,,terrible,Were there even any terrible games in 2014?
,2014,,,,,,,,,,,,terrible,What's a truly terrible game released in 2014 that you know of?
,,,,,,"adventure, indie",,,,,,,short,Have you played any indie adventure games that were short to play through?
,,,,,,"adventure, indie",,,,,,,short,Do you know any short indie adventure games I could pick up?
,,,,,,,,no,,,,,epic,What's the most epic single player game that you played recently?
,,,,,,,,no,,,,,epic,What's an epic single player game?
,,,,,,,,,,,no,,cheap,Have you played any cheap games lately that don't have a Linux release?
,,,,,,,,,,,no,,cheap,Do you know any cheap games that aren't on Linux?
,,,Bloober Team,,,,,,,,,,silliest,What do you think is the silliest game ever made by Bloober Team?
,,,Bloober Team,,,,,,,,,,silliest,What's the silliest game that Bloober Team has made?
,,,,,,,,,PC,,,,expensive,What's the most expensive game for the PC that you know of?
,,,,,,,,,PC,,,,expensive,What's the most expensive PC game you know of?
