name,release_year,exp_release_date,developer,esrb,rating,genres,player_perspective,has_multiplayer,platforms,available_on_steam,has_linux_release,has_mac_release,utterance
Mirror's Edge Catalyst,,,,,,"action-adventure, fighting",,,,,,,"Do you ever play games that blend the action-adventure and fighting genres together, like for example Mirror's Edge Catalyst?"
Mirror's Edge Catalyst,,,,,,"action-adventure, fighting",,,,,,,Do you play action adventure fighting games like Mirror's Edge Catalyst?
Mirror's Edge Catalyst,,,EA Digital Illusions CE,,,,,,,,,,Have you played any games from EA Digital Illusions CE like Mirror's Edge Catalyst ?
Mirror's Edge Catalyst,,,EA Digital Illusions CE,,,,,,,,,,"So now I've started to wonder, have you played any games created by EA Digital Illusions CE, such as for example Mirror's Edge Catalyst?"
Mirror's Edge Catalyst,2016,,,,,,,,,,,,"have you played any games from 2016, like Mirror's Edge Catalyst ?"
Mirror's Edge Catalyst,2016,,,,,,,,,,,,"Are any of the games you played games released in 2016, like Mirror's Edge Catalyst?"
Mirror's Edge Catalyst,,,,,,,,,PlayStation,,,,"Do you have any experience playing games for the PlayStation, like Mirror's Edge Catalyst?"
Mirror's Edge Catalyst,,,,,,,,,PlayStation,,,,Do you like games on PlayStation like Mirror's Edge Catalyst ?
Mirror's Edge Catalyst,,,,,,,first person,,,,,,"Have you given first perosn games a try, like  Mirror's Edge Catalyst ?"
Mirror's Edge Catalyst,,,,,,,first person,,,,,,"So have you ever played a game with a first person perspective, such as for example Mirror's Edge Catalyst?"
Tetris,,,,,,"arcade, puzzle, strategy",,,,,,,Have you given strategy arcade puzzle games like  Tetris a try?
Tetris,,,,,,"arcade, puzzle, strategy",,,,,,,"So do you have any experience playing arcade strategy puzzle games, like Tetris?"
Tetris,,,,,,,,,Nintendo,,,,"Have you played any games by Nintendo, like Tetris?"
Tetris,,,,,,,,,Nintendo,,,,"I was wondering, have you ever played a game for the Nintendo, like for example Tetris?"
Tetris,,,"Spectrum HoloByte, Inc.",,,,,,,,,,"If you don't mind me asking, have you ever played a game that was developed by Spectrum HoloByte Inc, like for example Tetris?"
Tetris,,,"Spectrum HoloByte, Inc.",,,,,,,,,,"Have you tried any games from Spectrum HoloByte Inc, like Tetris ?"
Tetris,,,,,,,side view,,,,,,Are you familiar with side view games like  Tetris?
Tetris,,,,,,,side view,,,,,,"So have you ever played a game that has a side view perspective, like for example Tetris?"
Tetris,1986,,,,,,,,,,,,Have you played any games from 1986 like Tetris ?
Tetris,1986,,,,,,,,,,,,"I was wondering, have you ever played a game that was released way back in 1986, like for example Tetris?"
Portal 2,,,,,,,first person,,,,,,"Are you familiar with first person perspective games, like Portal 2?"
Portal 2,,,,,,,first person,,,,,,Do you like first person games such as Portal 2?
Portal 2,,,Valve Corporation,,,,,,,,,,"I was wondering something, have you played any of the games developed by Valve Corporation, such as Portal 2?"
Portal 2,,,Valve Corporation,,,,,,,,,,Have you played any games from Valve like Portal 2
Portal 2,,,,,,,,yes,,,,,Do you enjoy multiplayer games like Portal 2
Portal 2,,,,,,,,yes,,,,,"Do you have any experience playing games with multiplayer, like Portal 2 for example?"
Portal 2,,,,,,,,,PlayStation,,,,Do you like other PlayStation games like Portal 2?
Portal 2,,,,,,,,,PlayStation,,,,"So have you every played a game for the PlayStation, like for example Portal 2?"
Portal 2,2011,,,,,,,,,,,,Do you play games from 2011 like Portal 2 ?
Portal 2,2011,,,,,,,,,,,,"Do you have any experience playing games that were released in 2011, like Portal 2 for example?"
Resident Evil 4,,,Capcom Production Studio 4,,,,,,,,,,Have you played any games from Capcom Production Studio 4 liek Resident Evil 4 ?
Resident Evil 4,,,Capcom Production Studio 4,,,,,,,,,,"So I've been curious, have you ever played a game made by Capcom Production Studio 4, like Resident Evil 4?"
Resident Evil 4,,,,,,"action-adventure, shooter",,,,,,,Do you like action-adventure shooter games like Resident Evil 4 ?
Resident Evil 4,,,,,,"action-adventure, shooter",,,,,,,"So do you ever play action-adventure shooters, like for example Resident Evil 4?"
Resident Evil 4,,,,M (for Mature),,,,,,,,,Do you normally play M rated games like Resident Evil 4 ?
Resident Evil 4,,,,M (for Mature),,,,,,,,,"So I'm curious, have you ever played any M rated games, such as Resident Evil 4?"
Resident Evil 4,,,,,,,,,PC,,,,"Have you ever played a game on the PC, such as Resident Evil 4?"
Resident Evil 4,,,,,,,,,PC,,,,Have you played any PC games like Resident Evil 4 ?
Resident Evil 4,,,,,,,,,,yes,,,Have you tried out games on steam like Resident Evil 4 ?
Resident Evil 4,,,,,,,,,,yes,,,"So do you have any experience playing games that are available on Steam, like for example Resident Evil 4?"
Guitar Hero: Smash Hits,,,Beenox,,,,,,,,,,"So I was wondering now, have you played any games developed by Beenox, games like for example Guitar Hero: Smash Hits?"
Guitar Hero: Smash Hits,,,Beenox,,,,,,,,,,Have you given Beenox's games a try? They've made games like Guitar Hero: Smash Hits .
Guitar Hero: Smash Hits,,,,,,,,,Nintendo,,,,Do you like games available on the Nintendo like Guitar Hero: Smash Hits ?
Guitar Hero: Smash Hits,,,,,,,,,Nintendo,,,,"So now I'm curious, have you ever played a game for Nintendo, like for example Guitar Hero: Smash Hits?"
Guitar Hero: Smash Hits,,,,,,,first person,,,,,,"Hey, have you played any first person games, such as Guitar Hero: Smash Hits ?"
Guitar Hero: Smash Hits,,,,,,,first person,,,,,,"Have you ever played a first person game, like for example Guitar Hero: Smash Hits?"
Guitar Hero: Smash Hits,,,,,,,,yes,,,,,Do you like other multiplayer games like The Vanishing of Ethan Carter ?
Guitar Hero: Smash Hits,,,,,,,,yes,,,,,"Hey, have you ever played a game with multiplayer, like for example Guitar Hero: Smash Hits?"
Guitar Hero: Smash Hits,,,,,,music,,,,,,,"I'm curious, do you have any experience playing any games in the music genre, like for example Guitar Hero: Smash Hits?"
Guitar Hero: Smash Hits,,,,,,music,,,,,,,"Do you like music games, such as Guitar Hero: Smash Hits ?"
BioShock,,,,,,"action-adventure, role-playing, shooter",,,,,,,Do you typically like action-adventure RPG shooters like BioShock ?
BioShock,,,,,,"action-adventure, role-playing, shooter",,,,,,,"I'm curious, have you ever played an action-adventure shooter with role-playing elements, like for example BioShock?"
BioShock,,,,,,,first person,,,,,,Have you enjoyed first person games like BioShock  before?
BioShock,,,,,,,first person,,,,,,"I was wondering if you enjoyed playing first person games, like for example BioShock?"
BioShock,,,2K Boston,,,,,,,,,,Do you like any games from 2K Boston like BioShock ?
BioShock,,,2K Boston,,,,,,,,,,"Are you familiar with any of the games developed by 2K Boston, such as BioShock?"
BioShock,,,,,,,,,,yes,,,"Do you enjoy games with a steam release, like BioShock ?"
BioShock,,,,,,,,,,yes,,,"Have you ever played anything with a Steam release, like for example BioShock?"
BioShock,,,,,,,,,,,,yes,"So I'm wondering, have you ever played a game with a Mac release, like for example BioShock?"
BioShock,,,,,,,,,,,,yes,Have you had fun with other mac games like BioShock ?
Age of Empires II: The Age of Kings,1999,,,,,,,,,,,,Have you played any games from 1999 like Age of Empires II: The Age of Kings ?
Age of Empires II: The Age of Kings,1999,,,,,,,,,,,,"Have you ever played a game that came out in 1999, like Age of Empires II: The Age of Kings?"
Age of Empires II: The Age of Kings,,,,,,,,,,,,yes,Do you usually play games on Mac like Age of Empires II: The Age of Kings ?
Age of Empires II: The Age of Kings,,,,,,,,,,,,yes,Do you have experience with Mac games like Age of Empires II: The Age of Kings?
Age of Empires II: The Age of Kings,,,,,,,,,,no,,,"So I was wondering, have you ever played a game that isn't available on Steam, such as Age of Empires II: The Age of Kings?"
Age of Empires II: The Age of Kings,,,,,,,,,,no,,,"Have you tried any games not on steam, like Age of Empires II: The Age of Kings?"
Age of Empires II: The Age of Kings,,,,,,,bird view,,,,,,Have you tried out bird view games like Age of Empires II: The Age of Kings ?
Age of Empires II: The Age of Kings,,,,,,,bird view,,,,,,"Do you have any experience playing games with a bird view perspective, like Age of Empires II: The Age of Kings?"
Age of Empires II: The Age of Kings,,,Ensemble Studios,,,,,,,,,,"I was curious, have you played any games made by Ensemble Studios, such as Age of Empires II: The Age of Kings?"
Age of Empires II: The Age of Kings,,,Ensemble Studios,,,,,,,,,,Have you played any games from Ensemble Studios like Age of Empires II: The Age of Kings ?
Worms: Reloaded,,,,,,,,,,,yes,,"I'm curious, have you played any games with Linux releases, such as Worms: Reloaded?"
Worms: Reloaded,,,,,,,,,,,yes,,Do you enjoy other games with a linux release like Worms: Reloaded /
Worms: Reloaded,,,,,,,,yes,,,,,Do you normally play multiplayer games like Worms: Reloaded ?
Worms: Reloaded,,,,,,,,yes,,,,,"Do you have any experience playing multiplayer games, like for example Worms: Reloaded?"
Worms: Reloaded,,,,,,,side view,,,,,,Do you normally play side-view games like Worms: Reloaded ?
Worms: Reloaded,,,,,,,side view,,,,,,"So I'm wondering now, have you ever played a game with a side view perspective, such as Worms: Reloaded?"
Worms: Reloaded,,,Team17 Digital Ltd,,,,,,,,,,Have you played any games from Team17 Digital LTD like Worms: Reloaded?
Worms: Reloaded,,,Team17 Digital Ltd,,,,,,,,,,"Do you have any experience with the games made by Team17 Digital Ltd, like for example Worms: Reloaded?"
Worms: Reloaded,,,,,,,,,,yes,,,"Have you ever played a game with a Steam release, such as Worms: Reloaded?"
Worms: Reloaded,,,,,,,,,,yes,,,Do you enjoy other games on steam like  Worms: Reloaded ?
The Vanishing of Ethan Carter,,,The Astronauts,,,,,,,,,,"Have you played any games from The Astronauts, such as The Vanishing of Ethan Carter ?"
The Vanishing of Ethan Carter,,,The Astronauts,,,,,,,,,,"Have you ever played any games that were developed by The Astronauts, such as The Vanishing of Ethan Carter?"
The Vanishing of Ethan Carter,,,,,,"adventure, indie",,,,,,,Do you generally like indie adventure games like The Vanishing of Ethan Carter ?
The Vanishing of Ethan Carter,,,,,,"adventure, indie",,,,,,,"Have you ever played an indie adventure game, like The Vanishing of Ethan Carter for example?"
The Vanishing of Ethan Carter,,,,,,,,,Xbox,,,,Have you tried out games on Xbox like The vanishing of ethan carter?
The Vanishing of Ethan Carter,,,,,,,,,Xbox,,,,"So do you have any experience playing games for the Xbox, such as The Vanishing of Ethan Carter?"
The Vanishing of Ethan Carter,,,,,,,,no,,,,,"Have you ever played a game that had no multiplayer option, such as for example The Vanishing of Ethan Carter?"
The Vanishing of Ethan Carter,,,,,,,,no,,,,,Do you typically enjoy single player games like The Vanishing of Ethan Carter ?
