mr,ref
"confirm(name[Ancient Cities], developer[Uncasual Games])",Ancient Cities? From Uncasual Games?
"confirm(name[Ancient Cities], developer[Uncasual Games])",Are you talking about the Ancient Cities that was made by Uncasual Games?
"confirm(name[Ancient Cities], developer[Uncasual Games])",Do you mean the Ancient Cities released by Uncasual Games?
"confirm(name[Ancient Cities], exp_release_date[December 1, 2018])","Do you mean the Ancient Cities that is expected to be released on December 1, 2018?"
"confirm(name[Ancient Cities], exp_release_date[December 1, 2018])","Do you mean Ancient Cities, coming December 1, 2018?"
"confirm(name[Ancient Cities], exp_release_date[December 1, 2018])","You mean the Ancient Cities that's not coming out till December 1, 2018, right?"
"confirm(name[Ancient Cities], genres[simulation, strategy])",Do you mean the Ancient Cities which is a strategy simulator?
"confirm(name[Ancient Cities], genres[simulation, strategy])","Do you mean the simulation strategy game, Ancient Cities?"
"confirm(name[Ancient Cities], genres[simulation, strategy])",Do you mean the strategy sim Ancient Cities?
"confirm(name[Ancient Cities], platforms[PC])",Are you talking about the Ancient Cities that is for the PC?
"confirm(name[Ancient Cities], platforms[PC])","You mean the Ancient Cities that's on the PC, right?"
"confirm(name[Ancient Cities], platforms[PC])","Do you mean the PC game, Ancient Cities?"
"confirm(name[Ancient Cities], player_perspective[bird view])",Are you talking about Ancient Cities with a bird view perspective?
"confirm(name[Ancient Cities], player_perspective[bird view])",Do you mean the Ancient Cities that you play from a bird view perspective?
"confirm(name[Ancient Cities], player_perspective[bird view])","So you're talking about the Ancient Cities with the bird view perspective, right?"
"confirm(name[Battlefield V], developer[EA Digital Illusions CE])","You're referring to the newest EA Digital Illusions CE game, Battlefield V, right?"
"confirm(name[Battlefield V], developer[EA Digital Illusions CE])","Oh, do you mean EA Digital Illusions CE's Battlefield V?"
"confirm(name[Battlefield V], developer[EA Digital Illusions CE])",Are you speaking about the Battlefield V that was made by EA Digital Illusions CE?
"confirm(name[Battlefield V], exp_release_date[October 16, 2018])","Are you referring to Battlefield V, expected to come out October 16, 2018?"
"confirm(name[Battlefield V], exp_release_date[October 16, 2018])","Are you talking about the Battlefield V that's being released on October 16, 2018?"
"confirm(name[Battlefield V], exp_release_date[October 16, 2018])","Did you mean Battlefield V, the game that is coming out on October 16, 2018?"
"confirm(name[Battlefield V], genres[action, shooter])","Are you talking about the action-shooter, Battlefield V?"
"confirm(name[Battlefield V], genres[action, shooter])",Were you referring to the Battlefield V that's an action shooter game?
"confirm(name[Battlefield V], genres[action, shooter])","Are you talking about the action-packed first person shooter, Battlefield V?"
"confirm(name[Battlefield V], has_multiplayer[yes])",Are you referring to the Battlefield V that has a multiplayer option?
"confirm(name[Battlefield V], has_multiplayer[yes])",Are you referring to the Battlefield V with multiplayer?
"confirm(name[Battlefield V], has_multiplayer[yes])",Are you talking about the multiplayer game Battlefield V?
"confirm(name[Battlefield V], platforms[Xbox])",Are you talking about Battlefield V for the Xbox?
"confirm(name[Battlefield V], platforms[Xbox])",Do you mean the Battlefield V for the Xbox?
"confirm(name[Battlefield V], platforms[Xbox])","Is that Battlefield V, available on Xbox?"
"confirm(name[Diablo II], developer[Blizzard North])",Are you talking about Diablo II from Blizzard North?
"confirm(name[Diablo II], developer[Blizzard North])","You're referring to one of Blizzard North's games, Diablo II, right?"
"confirm(name[Diablo II], developer[Blizzard North])",Do you mean the Diablo II that Blizzard North developed?
"confirm(name[Diablo II], has_mac_release[yes])",Do you mean Diablo II that was released on the Mac?
"confirm(name[Diablo II], has_mac_release[yes])",Are you talking about the Diablo II that you can play on Mac too?
"confirm(name[Diablo II], has_mac_release[yes])","Is this about the game Diablo II, that you can even play on Mac?"
"confirm(name[Diablo II], has_multiplayer[yes])",Are you talking about the Diablo II that has multiplayer?
"confirm(name[Diablo II], has_multiplayer[yes])","Are you talking about Diablo II, the multiplayer game?"
"confirm(name[Diablo II], has_multiplayer[yes])","Are you talking about Diablo II, one of the best multiplayer games?"
"confirm(name[Diablo II], platforms[PC])",Are you talking about the PC game Diablo II?
"confirm(name[Diablo II], platforms[PC])","Are you referring to Diablo II, the PC game?"
"confirm(name[Diablo II], platforms[PC])","You mentioned Diablo II, by that are you referring to the PC game?"
"confirm(name[Diablo II], release_year[2000])",Are you talking about Diablo II from 2000?
"confirm(name[Diablo II], release_year[2000])","Ah, do you mean the Diablo II that came out in 2000?"
"confirm(name[Diablo II], release_year[2000])","Are you talking about one of my favorite games, Diablo II, that came out in 2000?"
"confirm(name[Grand Theft Auto V], available_on_steam[yes])","Oh, do you mean the one that's on Steam too, Grand Theft Auto V?"
"confirm(name[Grand Theft Auto V], available_on_steam[yes])",So do you mean the Grand Theft Auto V on Steam?
"confirm(name[Grand Theft Auto V], available_on_steam[yes])",Is this the Grand Theft Auto V that's on Steam?
"confirm(name[Grand Theft Auto V], developer[Rockstar North])",Is the Grand Theft Auto V you just mentioned the one that was developed by Rockstar North?
"confirm(name[Grand Theft Auto V], developer[Rockstar North])",Do you mean the Grand Theft Auto V developed by Rockstar North?
"confirm(name[Grand Theft Auto V], developer[Rockstar North])",Are you referring to Grand Theft Auto V from Rockstar North?
"confirm(name[Grand Theft Auto V], esrb[M (for Mature)])",Is the Grand Theft Auto V you mentioned the one that got an M (for Mature) ESRB rating?
"confirm(name[Grand Theft Auto V], esrb[M (for Mature)])",Are you talking about the M rated game Grand Theft Auto V?
"confirm(name[Grand Theft Auto V], esrb[M (for Mature)])","This is the Grand Theft Auto V that's got an M rating, correct?"
"confirm(name[Grand Theft Auto V], player_perspective[third person])",Do you mean the Grand Theft Auto V that has got a third person perspective?
"confirm(name[Grand Theft Auto V], player_perspective[third person])",Are you referring to the third person Grand Theft Auto V?
"confirm(name[Grand Theft Auto V], player_perspective[third person])","Do you mean Grand Theft Auto V, the third person game?"
"confirm(name[Grand Theft Auto V], release_year[2013])",Do you mean Grand Theft Auto V from 2013?
"confirm(name[Grand Theft Auto V], release_year[2013])","Ah, the Grand Theft Auto V from 2013 is what you mean, correct?"
"confirm(name[Grand Theft Auto V], release_year[2013])","By Grand Theft Auto V you mean the game that came out in 2013, right?"
"confirm(name[Horizon: Zero Dawn], developer[Guerrilla Games])",Do you mean Horizon: Zero Dawn from Guerrilla Games?
"confirm(name[Horizon: Zero Dawn], developer[Guerrilla Games])",Are you referring to the Horizon: Zero Dawn developed by Guerrilla Games?
"confirm(name[Horizon: Zero Dawn], developer[Guerrilla Games])",Is that the game Horizon: Zero Dawn that Guerrilla Games created?
"confirm(name[Horizon: Zero Dawn], esrb[T (for Teen)])","Oh, do you mean the T rated Horizon: Zero Dawn?"
"confirm(name[Horizon: Zero Dawn], esrb[T (for Teen)])","Do you mean Horizon: Zero Dawn, the game that is rated T and is probably not appropriate for our little brothers to play?"
"confirm(name[Horizon: Zero Dawn], esrb[T (for Teen)])",Are you speaking of the Horizon: Zero Dawn that got the T rating from the ESRB?
"confirm(name[Horizon: Zero Dawn], genres[action-adventure, role-playing, shooter])","By Horizon: Zero Dawn, do you mean the action-adventure shooter with role-playing elements?"
"confirm(name[Horizon: Zero Dawn], genres[action-adventure, role-playing, shooter])","Do you mean Horizon: Zero Dawn, the action adventure RPG shooter?"
"confirm(name[Horizon: Zero Dawn], genres[action-adventure, role-playing, shooter])","Are we talking about the action-adventure shooter RPG, Horizon: Zero Dawn?"
"confirm(name[Horizon: Zero Dawn], platforms[PlayStation])",Is this the Horizon: Zero Dawn on the PlayStation?
"confirm(name[Horizon: Zero Dawn], platforms[PlayStation])","Do you mean the PlayStation game, Horizon: Zero Dawn?"
"confirm(name[Horizon: Zero Dawn], platforms[PlayStation])",Do you mean Horizon: Zero Dawn that you can play on PlayStation?
"confirm(name[Horizon: Zero Dawn], release_year[2017])",Are you talking about Horizon: Zero Dawn from 2017?
"confirm(name[Horizon: Zero Dawn], release_year[2017])",Is the Horizon: Zero Dawn you mentioned the one that came out in 2017?
"confirm(name[Horizon: Zero Dawn], release_year[2017])","Are you talking about Horizon: Zero Dawn, the game that came out in 2017?"
"confirm(name[Little Big Adventure], available_on_steam[yes])",Are you referring to the Little Big Adventure that is available on Steam?
"confirm(name[Little Big Adventure], available_on_steam[yes])","Oh, do you mean Little Big Adventure on Steam?"
"confirm(name[Little Big Adventure], available_on_steam[yes])",The same Little Big Adventure up on Steam?
"confirm(name[Little Big Adventure], genres[action-adventure])",Is the Little Big Adventure you're talking about the one that's in the action-adventure genre?
"confirm(name[Little Big Adventure], genres[action-adventure])","It's called Little Big Adventure and it's an action-adventure game, right?"
"confirm(name[Little Big Adventure], genres[action-adventure])","Do you mean Little Big Adventure, the action-adventure game?"
"confirm(name[Little Big Adventure], platforms[PC])",Are you referring to Little Big Adventure that you play on PC?
"confirm(name[Little Big Adventure], platforms[PC])",Are you referring to Little Big Adventure available on PC?
"confirm(name[Little Big Adventure], platforms[PC])","Ah, do you mean the Little Big Adventure that's out on PC?"
"confirm(name[Little Big Adventure], player_perspective[third person])","Do you mean the third person game, Little Big Adventure?"
"confirm(name[Little Big Adventure], player_perspective[third person])",Don't you mean the Little Big Adventure that is a third person game?
"confirm(name[Little Big Adventure], player_perspective[third person])",Do you mean the Little Big Adventure that has a third person perspective?
"confirm(name[Little Big Adventure], release_year[1994])",You mean the Little Big Adventure that dropped in 1994?
"confirm(name[Little Big Adventure], release_year[1994])","By Little Big Adventure, do you mean the one that came out in 1994?"
"confirm(name[Little Big Adventure], release_year[1994])",Do you mean Little Big Adventure from 1994?
"confirm(name[NBA 2K19], developer[Visual Concepts])",Do you mean NBA 2K19 from Visual Concepts?
"confirm(name[NBA 2K19], developer[Visual Concepts])",Is this the NBA 2K19 that was developed by Visual Concepts?
"confirm(name[NBA 2K19], developer[Visual Concepts])",You mean NBA 2K19 from Visual Concepts?
"confirm(name[NBA 2K19], exp_release_date[September 11, 2018])","The NBA 2K19 that will be released on September 11, 2018?"
