mr,ref
"give_opinion(name[Age of Empires II: The Age of Kings], esrb[T (for Teen)], rating[good], has_multiplayer[yes])","Age of Empires II: The Age of Kings is a pretty solid game. It's got a multiplayer component too that, along with the T rating, meant I could easily play with my younger brothers."
"give_opinion(name[Age of Empires II: The Age of Kings], esrb[T (for Teen)], rating[good], has_multiplayer[yes])","I think Age of Empires II: The Age of Kings is a good game. The T rating makes it accessible, and the multiplayer is a nice option."
"give_opinion(name[Age of Empires II: The Age of Kings], esrb[T (for Teen)], rating[good], has_multiplayer[yes])","I have fun playing Age of Empires II: The Age of Kings. I like that it has a multiplayer and, since it's only rated T (for Teen), I'm able to play it with friends and younger siblings."
"give_opinion(name[Age of Empires II: The Age of Kings], rating[good], available_on_steam[no], has_linux_release[no])","Age of Empires II: The Age of Kings is one game I like to play. Even though it doesn't have a Linux version or a Steam release, to me the game-play is worth being on the appropriate platform."
"give_opinion(name[Age of Empires II: The Age of Kings], rating[good], available_on_steam[no], has_linux_release[no])","I don't like Steam and I think focusing on a Linux release takes time away from making a game good, so I like games like Age of Empires II: The Age of Kings that avoids all that."
"give_opinion(name[Age of Empires II: The Age of Kings], rating[good], available_on_steam[no], has_linux_release[no])","Age of Empires II: The Age of Kings, was a good game. Getting a hold of it was tough though, since it's neither on Steam nor Linux."
"give_opinion(name[Age of Empires II: The Age of Kings], rating[good], genres[real-time strategy], player_perspective[bird view])","Age of Empires II: The Age of Kings is a solid RTS. It takes a lot of what makes the genre good, like the bird view, and improves upon it."
"give_opinion(name[Age of Empires II: The Age of Kings], rating[good], genres[real-time strategy], player_perspective[bird view])",I like bird's eye view real-time strategy games. Just like Age of Empires II: The Age of Kings is a good game.
"give_opinion(name[Age of Empires II: The Age of Kings], rating[good], genres[real-time strategy], player_perspective[bird view])","I'm a fan of Age of Empires II: The Age of Kings because I've always liked real-time strategy games, and it's a pretty good one. The bird view perspective gives me a good overview of the game experience as I play."
"give_opinion(name[Age of Empires II: The Age of Kings], rating[good], platforms[PC], has_mac_release[yes])","Age of Empires II: The Age of Kings is a good game for sure. It's a PC game like a lot of what I play, but it also has a Mac release, which allows me to play it on my laptop too."
