mr,ref
"verify_attribute(name[Assassin's Creed Chronicles: India], developer[Climax Studios], rating[poor], has_multiplayer[no])",I know you rather disliked Assassin's Creed Chronicles: India. Do you also dislike the other single-player games made by Climax Studios?
"verify_attribute(name[Assassin's Creed Chronicles: India], developer[Climax Studios], rating[poor], has_multiplayer[no])","I know you mentioned not liking Assassin's Creed Chronicles: India. I'm curious, do you think all of Climax Studios' single-player only games are bad?"
"verify_attribute(name[Assassin's Creed Chronicles: India], developer[Climax Studios], rating[poor], has_multiplayer[no])",You said earlier that you disliked Assassin's Creed Chronicles: India. Are you typically not super fond of games without multiplayer from Climax Studios?
"verify_attribute(name[Assassin's Creed Chronicles: India], developer[Climax Studios], rating[poor], player_perspective[side view])",So I know you said you hated Assassin's Creed Chronicles: India. Do you think all of Climax Studios side view games are as bad?
"verify_attribute(name[Assassin's Creed Chronicles: India], developer[Climax Studios], rating[poor], player_perspective[side view])","You said that you disliked Assassin's Creed Chronicles: India. Generally speaking, do you dislike side view games from Climax Studios?"
"verify_attribute(name[Assassin's Creed Chronicles: India], developer[Climax Studios], rating[poor], player_perspective[side view])",I recall you saying that you hated Assassin's Creed Chronicles: India. Do you hate other side view games made by Climax Studios as well?
"verify_attribute(name[Assassin's Creed Chronicles: India], rating[poor], genres[action-adventure, platformer], platforms[PlayStation])",You said that you disliked Assassin's Creed Chronicles: India. Do you dislike action-adventure platformers on PlayStation as a whole?
"verify_attribute(name[Assassin's Creed Chronicles: India], rating[poor], genres[action-adventure, platformer], platforms[PlayStation])",I heard your weren't a huge fan of Assassin's Creed Chronicles: India. Do you not like playing action-adventure platformers on your PlayStation?
"verify_attribute(name[Assassin's Creed Chronicles: India], rating[poor], genres[action-adventure, platformer], platforms[PlayStation])",I remember you said you found Assassin's Creed Chronicles: India to be pretty bad. Do you have a similar experience with other action-adventure platformers for the PlayStation?
"verify_attribute(name[Assassin's Creed Chronicles: India], rating[poor], has_multiplayer[no], platforms[PlayStation])",So you said you got very bored with Assassin's Creed Chronicles: India. Do you just not enjoy single-player only PlayStation games?
"verify_attribute(name[Assassin's Creed Chronicles: India], rating[poor], has_multiplayer[no], platforms[PlayStation])",Previously you told me that you don't like to play Assassin's Creed Chronicles: India. Does it mean you hate single-player PlayStation games in general?
"verify_attribute(name[Assassin's Creed Chronicles: India], rating[poor], has_multiplayer[no], platforms[PlayStation])",You mentioned that you didn't enjoy Assassin's Creed Chronicles: India. Are you generally not a fan of PlayStation games without multiplayer?
"verify_attribute(name[Assassin's Creed Chronicles: India], release_year[2016], rating[poor], genres[action-adventure, platformer])",I remember you said you disliked Assassin's Creed Chronicles: India. Are you not fond of action-adventure games featuring platforming from 2016 as a whole?
"verify_attribute(name[Assassin's Creed Chronicles: India], release_year[2016], rating[poor], genres[action-adventure, platformer])",I remember you telling me that you really disliked Assassin's Creed Chronicles: India. Do you remember if that was the case for other 2016 action-adventure platformers besides this one?
"verify_attribute(name[Assassin's Creed Chronicles: India], release_year[2016], rating[poor], genres[action-adventure, platformer])",You said that you disliked Assassin's Creed Chronicles: India. Do you in particular dislike action-adventure platformers from 2016?
"verify_attribute(name[Assassin's Creed II], developer[Ubisoft Montreal], esrb[M (for Mature)], rating[good])",I know you said earlier that Assassin's Creed II was quite good. Would you say you're a fan of M rated games developed by Ubisoft Montreal?
"verify_attribute(name[Assassin's Creed II], developer[Ubisoft Montreal], esrb[M (for Mature)], rating[good])","You seem to enjoy Ubisoft Montreal's M rated games like Assassin's Creed II, does that sound right?"
"verify_attribute(name[Assassin's Creed II], developer[Ubisoft Montreal], esrb[M (for Mature)], rating[good])","You like Assassin's Creed II right? Assassin's Creed II is created by Ubisoft Montreal, I heard it is rated M, right?"
"verify_attribute(name[Assassin's Creed II], developer[Ubisoft Montreal], rating[good], platforms[PlayStation])",You said you liked Assassin's Creed II a moment ago. Do you think Ubisoft Montreal is a solid developer for the PlayStation platform?
"verify_attribute(name[Assassin's Creed II], developer[Ubisoft Montreal], rating[good], platforms[PlayStation])","Since you enjoyed playing Assassin's Creed II, are you into other PlayStation games by Ubisoft Montreal?"
"verify_attribute(name[Assassin's Creed II], developer[Ubisoft Montreal], rating[good], platforms[PlayStation])","It's cool that you liked Assassin's Creed II, do you feel the same about other PlayStation games created by Ubisoft Montreal?"
"verify_attribute(name[Assassin's Creed II], rating[good], genres[action-adventure, platformer], platforms[PlayStation])","You said that Assassin's Creed II was pretty fun. In general, do you enjoy playing those action-adventure platformers that are available for PlayStation?"
"verify_attribute(name[Assassin's Creed II], rating[good], genres[action-adventure, platformer], platforms[PlayStation])",You said that you liked Assassin's Creed II. Do you generally like to play action-adventure platformers on the PlayStation?
"verify_attribute(name[Assassin's Creed II], rating[good], genres[action-adventure, platformer], platforms[PlayStation])",You said earlier that you enjoyed Assassin's Creed II. Are you generally a fan of platforming action-adventure games for PlayStation?
"verify_attribute(name[Assassin's Creed II], rating[good], genres[action-adventure, platformer], player_perspective[third person])",I recall you said that you liked Assassin's Creed II. Are you generally fond of third person action-adventure games featuring platforming?
"verify_attribute(name[Assassin's Creed II], rating[good], genres[action-adventure, platformer], player_perspective[third person])","So you said that you had a good time playing Assassin's Creed II. Generally speaking, do you like playing third person action-adventure platformers?"
"verify_attribute(name[Assassin's Creed II], rating[good], genres[action-adventure, platformer], player_perspective[third person])",You said that you enjoyed Assassin's Creed II. Do you generally like to play third person action-adventure platformers?
"verify_attribute(name[Assassin's Creed II], release_year[2009], rating[good], platforms[PlayStation])",The last time we were talking you said you were into Assassin's Creed II. Is it safe to assume that you liked alot of other PlayStation games from 2009?
"verify_attribute(name[Assassin's Creed II], release_year[2009], rating[good], platforms[PlayStation])",You said that you liked Assassin's Creed II. Do you normally like to play PlayStation games from 2009?
"verify_attribute(name[Assassin's Creed II], release_year[2009], rating[good], platforms[PlayStation])","A while ago you mentioned Assassin's Creed II, and said you liked it. Do you feel like a lot of good games were released for the PlayStation in 2009?"
"verify_attribute(name[Commandos: Behind Enemy Lines], esrb[T (for Teen)], rating[good], genres[strategy, tactical])",Previously you told me that you like to play Commandos: Behind Enemy Lines. Does it mean you are fond of T rated games with a lot of realtime tactical strategy?
"verify_attribute(name[Commandos: Behind Enemy Lines], esrb[T (for Teen)], rating[good], genres[strategy, tactical])",I remember you saying you enjoyed Commandos: Behind Enemy Lines. Would you say that the T rating is thus appropriate for such tactical strategy games?
"verify_attribute(name[Commandos: Behind Enemy Lines], esrb[T (for Teen)], rating[good], genres[strategy, tactical])",You mentioned that you liked Commandos: Behind Enemy Lines. Do you tend to enjoy T (for Teen) rated games involving strategy and tactical gameplay?
"verify_attribute(name[Commandos: Behind Enemy Lines], rating[good], genres[strategy, tactical], platforms[PC])",I know you like Commandos: Behind Enemy Lines. Do you think there is an abundance of good tactical strategy games for the PC?
"verify_attribute(name[Commandos: Behind Enemy Lines], rating[good], genres[strategy, tactical], platforms[PC])",You mentioned that you liked Commandos: Behind Enemy Lines. Are you a fan in general of strategy and tactical games for PC?
"verify_attribute(name[Commandos: Behind Enemy Lines], rating[good], genres[strategy, tactical], platforms[PC])",I heard you say that you like Commandos: Behind Enemy Lines. Are you really fond of games wherein it requires your clever strategies and tactics on the PC?
"verify_attribute(name[Commandos: Behind Enemy Lines], rating[good], platforms[PC], available_on_steam[yes])",You told me you like Commandos: Behind Enemy Lines. Do you play any other PC games that are also available on Steam?
"verify_attribute(name[Commandos: Behind Enemy Lines], rating[good], platforms[PC], available_on_steam[yes])",You mentioned that you enjoyed Commandos: Behind Enemy Lines. Is it common that you're fond of PC games on Steam?
"verify_attribute(name[Commandos: Behind Enemy Lines], rating[good], platforms[PC], available_on_steam[yes])","You recently said you liked Commandos: Behind Enemy Lines, which is on Steam. Do you normally like playing PC games like this?"
"verify_attribute(name[Commandos: Behind Enemy Lines], rating[good], player_perspective[bird view], has_multiplayer[yes])","Earlier, you said you liked Commandos: Behind Enemy Lines. Do you usually enjoy multiplayer games from a bird's-eye view?"
"verify_attribute(name[Commandos: Behind Enemy Lines], rating[good], player_perspective[bird view], has_multiplayer[yes])",You said earlier that you liked Commandos: Behind Enemy Lines. Are you a fan in general of multiplayer games with a bird view perspective?
"verify_attribute(name[Commandos: Behind Enemy Lines], rating[good], player_perspective[bird view], has_multiplayer[yes])",I heard you say that you liked Commandos: Behind Enemy Lines. Do you feel that multiplayer games tend to be more fun from a bird's eye view?
"verify_attribute(name[Commandos: Behind Enemy Lines], release_year[1998], developer[Pyro Studios], rating[good])",I heard you say earlier that Commandos: Behind Enemy Lines was a good game. Do you usually like games from Pyro Studios released in 1998?
"verify_attribute(name[Commandos: Behind Enemy Lines], release_year[1998], developer[Pyro Studios], rating[good])",You previously mentioned liking Commandos: Behind Enemy Lines. Generally are you a fan of games from 1998 by Pyro Studios?
"verify_attribute(name[Commandos: Behind Enemy Lines], release_year[1998], developer[Pyro Studios], rating[good])",I know you liked Commandos: Behind Enemy Lines quite a lot. Have you checked out any other games made around 1998 by Pyro Studios?
