mr,ref,alignment
"inform(name[Dirt: Showdown], release_year[2012], esrb[E 10+ (for Everyone 10 and Older)], genres[driving/racing, sport], platforms[PlayStation, Xbox, PC], available_on_steam[no], has_linux_release[no], has_mac_release[no])","Dirt: Showdown from 2012 is a sport racing game for the PlayStation, Xbox, PC rated E 10+ (for Everyone 10 and Older). It's not available on Steam, Linux, or Mac.",(0: da) (0: name) (21: releaseyear) (31: genres) (57: platforms) (87: esrb) (145: availableonsteam) (152: haslinuxrelease) (162: hasmacrelease)
"inform(name[Dirt: Showdown], release_year[2012], esrb[E 10+ (for Everyone 10 and Older)], genres[driving/racing, sport], platforms[PlayStation, Xbox, PC], available_on_steam[no], has_linux_release[no], has_mac_release[no])","Dirt: Showdown is a sport racing game that was released in 2012. The game is available on PlayStation, Xbox, and PC, and it has an ESRB Rating of E 10+ (for Everyone 10 and Older). However, it is not yet available as a Steam, Linux, or Mac release.",(0: da) (0: name) (21: genres) (60: releaseyear) (91: platforms) (150: esrb) (221: availableonsteam) (228: haslinuxrelease) (238: hasmacrelease)
"inform(name[Dirt: Showdown], release_year[2012], esrb[E 10+ (for Everyone 10 and Older)], genres[driving/racing, sport], platforms[PlayStation, Xbox, PC], available_on_steam[no], has_linux_release[no], has_mac_release[no])","Dirt: Showdown is a driving/racing sport game released in 2012. It is rated E 10+, and is available on PlayStation, Xbox and PC, but not on Steam, Mac, or Linux.",(0: da) (0: name) (21: genres) (59: releaseyear) (77: esrb) (105: platforms) (140: availableonsteam) (147: hasmacrelease) (155: haslinuxrelease)
"request(release_year[2014], specifier[terrible])",Were there even any terrible games in 2014?,(0: da) (20: specifier) (38: releaseyear)
"request(release_year[2014], specifier[terrible])",What's the most terrible game that you played in the year 2014?,(0: da) (17: specifier) (59: releaseyear)
"request(release_year[2014], specifier[terrible])",What's a truly terrible game released in 2014 that you know of?,(0: da) (16: specifier) (42: releaseyear)
"give_opinion(name[Little Nightmares], rating[good], genres[adventure, platformer, puzzle], player_perspective[side view])","Adventure games that combine platforming and puzzles can be frustrating to play, but the side view perspective is perfect for them. That's why I enjoyed playing Little Nightmares.",(0: da) (0: genres) (89: playerperspective) (147: rating) (164: name)
"give_opinion(name[Little Nightmares], rating[good], genres[adventure, platformer, puzzle], player_perspective[side view])",Little Nightmares is a pretty cool game that has kept me entertained. It's an adventure side-scrolling platformer with some puzzle elements to give me a bit of a challenge.,(0: da) (0: name) (30: rating) (80: genres) (89: playerperspective)
"give_opinion(name[Little Nightmares], rating[good], genres[adventure, platformer, puzzle], player_perspective[side view])","Little Nightmares is a good little adventure platforming puzzle game, I particularly enjoy what they did with the side view too.",(0: da) (0: name) (23: rating) (35: genres) (114: playerperspective)
"inform(name[Super Bomberman], release_year[1993], genres[action, strategy], platforms[Nintendo, PC], available_on_steam[no], has_linux_release[no], has_mac_release[no])","Super Bomberman is an action and strategy game from 1993 for Nintendo consoles and PC only. It's an older console game that is, unfortunately, not available to play on Steam and does not offer support for Mac or Linux.",(0: da) (0: name) (22: genres) (52: releaseyear) (61: platforms) (169: availableonsteam) (206: hasmacrelease) (213: haslinuxrelease)
"inform(name[Super Bomberman], release_year[1993], genres[action, strategy], platforms[Nintendo, PC], available_on_steam[no], has_linux_release[no], has_mac_release[no])","Super Bomberman is an action strategy game that came out in 1993 for Nintendo and PC only. This title is not available on either Steam, Linux, or Mac.",(0: da) (0: name) (22: genres) (60: releaseyear) (69: platforms) (129: availableonsteam) (136: haslinuxrelease) (146: hasmacrelease)
"inform(name[Super Bomberman], release_year[1993], genres[action, strategy], platforms[Nintendo, PC], available_on_steam[no], has_linux_release[no], has_mac_release[no])","Super Bomberman was released in 1993 on Nintendo and PC only. It is not available on Steam, Linux or Mac. It is an action strategy game.",(0: da) (0: name) (32: releaseyear) (40: platforms) (85: availableonsteam) (92: haslinuxrelease) (101: hasmacrelease) (118: genres)
"inform(name[Dirt: Showdown], genres[driving/racing, sport], player_perspective[first person, third person], has_multiplayer[yes], platforms[PlayStation, Xbox, PC], available_on_steam[no])","The multiplayer sport racing game, Dirt: Showdown, offers both first and third person perspectives. The game is available on PlayStation, Xbox and PC but not on Steam.",(0: da) (4: hasmultiplayer) (16: genres) (36: name) (66: playerperspective) (129: platforms) (162: availableonsteam)
"inform(name[Dirt: Showdown], genres[driving/racing, sport], player_perspective[first person, third person], has_multiplayer[yes], platforms[PlayStation, Xbox, PC], available_on_steam[no])","Dirt: Showdown is a multiplayer sport racing game for PlayStation, Xbox, and PC only. There is no Steam release. You can play from both the first and third person perspective.",(0: da) (0: name) (21: hasmultiplayer) (33: genres) (55: platforms) (99: availableonsteam) (145: playerperspective)
"inform(name[Dirt: Showdown], genres[driving/racing, sport], player_perspective[first person, third person], has_multiplayer[yes], platforms[PlayStation, Xbox, PC], available_on_steam[no])","Dirt: Showdown is a sport racing game that is available for PlayStation, Xbox, and PC. It is not available on Steam. The game has multiplayer available, and can be played either from a first person or a third person perspective.",(0: da) (0: name) (21: genres) (61: platforms) (111: availableonsteam) (131: hasmultiplayer) (191: playerperspective)
"confirm(name[Layers of Fear], genres[adventure, indie, point-and-click], player_perspective[first person])","Are you referring to Layers of Fear, the first person indie point-and-click adventure game?",(0: da) (21: name) (42: playerperspective) (55: genres)
"confirm(name[Layers of Fear], genres[adventure, indie, point-and-click], player_perspective[first person])",Is the Layers of Fear you mentioned the first person indie point-and-click adventure game?,(0: da) (7: name) (40: playerperspective) (53: genres)
"confirm(name[Layers of Fear], genres[adventure, indie, point-and-click], player_perspective[first person])","Layers of Fear, the indie first person point-and-click adventure game?",(0: da) (0: name) (21: genres) (27: playerperspective)
"inform(name[Driver], developer[Reflections Interactive], rating[average], genres[driving/racing, simulation], has_multiplayer[no], platforms[PlayStation, PC], available_on_steam[no])","Driver is a driving simulator that was released on PlayStation and PC by the developer Reflections Interactive with average reviews. There's no multiplayer, and it's not available on Steam.",(0: da) (0: name) (12: genres) (51: platforms) (87: developer) (116: rating) (145: hasmultiplayer) (185: availableonsteam)
"inform(name[Driver], developer[Reflections Interactive], rating[average], genres[driving/racing, simulation], has_multiplayer[no], platforms[PlayStation, PC], available_on_steam[no])","Driver is a driving simulation game developed by Reflections Interactive which received average reviews. It has no multiplayer, but is available on PlayStation and PC. The game is not available on Steam.",(0: da) (0: name) (12: genres) (49: developer) (88: rating) (115: hasmultiplayer) (150: platforms) (197: availableonsteam)
"inform(name[Driver], developer[Reflections Interactive], rating[average], genres[driving/racing, simulation], has_multiplayer[no], platforms[PlayStation, PC], available_on_steam[no])","Driver, by Reflections Interactive, is a single-player driving simulator with average ratings. It is available on PlayStation and PC. It is not available on Steam.",(0: da) (0: name) (12: developer) (43: hasmultiplayer) (57: genres) (80: rating) (117: platforms) (157: availableonsteam)
"inform(name[SpellForce 3], release_year[2017], rating[poor], genres[real-time strategy, role-playing], platforms[PC], available_on_steam[yes])",SpellForce 3 is a poor real-time strategy that came out in 2017 for PC only. The role-playing game is also on Steam.,(0: da) (0: name) (18: rating) (23: genres) (59: releaseyear) (68: platforms) (110: availableonsteam)
"inform(name[SpellForce 3], release_year[2017], rating[poor], genres[real-time strategy, role-playing], platforms[PC], available_on_steam[yes])","SpellForce 3 is a real-time strategy, role-playing PC game available on Steam. It was released in 2017 and is rated poorly.",(0: da) (0: name) (18: genres) (51: platforms) (72: availableonsteam) (100: releaseyear) (118: rating)
"inform(name[SpellForce 3], release_year[2017], rating[poor], genres[real-time strategy, role-playing], platforms[PC], available_on_steam[yes])",SpellForce 3 is a poorly-rated role-playing real-time strategy game. It was released in 2017 for PC. You can get it through Steam.,(0: da) (0: name) (18: rating) (31: genres) (89: releaseyear) (97: platforms) (124: availableonsteam)
"verify_attribute(name[Uncharted 4: A Thief's End], rating[excellent], has_multiplayer[yes])","Is playing multiplayer games something you're always up to, or was Uncharted 4: A Thief's End an unusually good one?",(0: da) (11: hasmultiplayer) (69: name)
"verify_attribute(name[Uncharted 4: A Thief's End], rating[excellent], has_multiplayer[yes])",I know you thought that Uncharted 4: A Thief's End was a truly excellent game. Do you also love other games that have a multiplayer option?,(0: da) (24: name) (64: rating) (122: hasmultiplayer)
"verify_attribute(name[Uncharted 4: A Thief's End], rating[excellent], has_multiplayer[yes])",You've told me before that you love Uncharted 4: A Thief's End. Is that because you enjoy multiplayer games?,(0: da) (32: rating) (37: name) (93: hasmultiplayer)
"suggest(name[Worms: Reloaded], available_on_steam[yes])","I bet you like it when you can play games on Steam, like Worms: Reloaded, right?",(0: da) (45: availableonsteam) (58: name)
"suggest(name[Worms: Reloaded], available_on_steam[yes])","Have you ever played a game on Steam, such as Worms: Reloaded?",(0: da) (31: availableonsteam) (47: name)
"suggest(name[Worms: Reloaded], available_on_steam[yes])","Do you enjoy other games on Steam, I don't know, like Worms: Reloaded?",(0: da) (28: availableonsteam) (57: name)
"verify_attribute(name[The Legend of Zelda: Ocarina of Time], esrb[E (for Everyone)], rating[excellent], platforms[Nintendo])",You said you loved The Legend of Zelda: Ocarina of Time. Do you often tend to play similar Nintendo games that are also rated E?,(0: da) (13: rating) (19: name) (93: platforms) (122: esrb)
"verify_attribute(name[The Legend of Zelda: Ocarina of Time], esrb[E (for Everyone)], rating[excellent], platforms[Nintendo])",I recall you saying that you really enjoyed The Legend of Zelda: Ocarina of Time. Are you typically a big fan of games on Nintendo rated E (for Everyone)?,(0: da) (44: name) (124: platforms) (133: esrb)
"verify_attribute(name[The Legend of Zelda: Ocarina of Time], esrb[E (for Everyone)], rating[excellent], platforms[Nintendo])","So since you mentioned that you absolutely loved The Legend of Zelda: Ocarina of Time, it got me curious about something. Do you also love Nintendo's lineup of other E rated games?",(0: da) (43: rating) (49: name) (142: platforms) (169: esrb)
"request_explanation(release_year[2005], rating[excellent])",So what is it about the games that were released in 2005 that you find so excellent?,(0: da) (52: releaseyear) (74: rating)
"request_explanation(release_year[2005], rating[excellent])",What is it about 2005's games that you think are so great?,(0: da) (17: releaseyear) (52: rating)
"request_explanation(release_year[2005], rating[excellent])",What is it about games released in 2005 that makes you think it's such a fantastic year for video games?,(0: da) (35: releaseyear) (73: rating)
"inform(name[Need for Speed: Payback], release_year[2017], genres[driving/racing], player_perspective[third person], has_multiplayer[yes], platforms[PlayStation, Xbox, PC], has_linux_release[no], has_mac_release[no])","Need for Speed: Payback was released in 2017 on PlayStation, Xbox and PC. It wasn't released on Linux or Mac. It is a third person driving racing game that you can be play together with your friends.",(0: da) (0: name) (41: releaseyear) (49: platforms) (98: haslinuxrelease) (107: hasmacrelease) (123: playerperspective) (136: genres) (193: hasmultiplayer)
"inform(name[Need for Speed: Payback], release_year[2017], genres[driving/racing], player_perspective[third person], has_multiplayer[yes], platforms[PlayStation, Xbox, PC], has_linux_release[no], has_mac_release[no])","I have recently played Need for Speed: Payback, a third person racing game whose multiplayer mode allows you to play with your friends online. It was released for PlayStation, Xbox, and PC in 2017, but has no Linux or Mac release.",(0: da) (23: name) (52: playerperspective) (65: genres) (82: hasmultiplayer) (166: platforms) (197: releaseyear) (210: haslinuxrelease) (219: hasmacrelease)
"inform(name[Need for Speed: Payback], release_year[2017], genres[driving/racing], player_perspective[third person], has_multiplayer[yes], platforms[PlayStation, Xbox, PC], has_linux_release[no], has_mac_release[no])","Need for Speed: Payback is a third person driving/racing game with a multiplayer mode. It came out in 2017 for PlayStation, Xbox, and PC, but it is not available on Mac or Linux.",(0: da) (0: name) (30: playerperspective) (43: genres) (70: hasmultiplayer) (104: releaseyear) (113: platforms) (166: hasmacrelease) (173: haslinuxrelease)
"inform(name[Warcraft III: Reign of Chaos], release_year[2002], rating[excellent], genres[real-time strategy], player_perspective[bird view], has_multiplayer[yes])",Warcraft III: Reign of Chaos received excellent reviews when it was released in 2002. It really raised the bar for multiplayer bird's eye perspective RTS games.,(0: da) (0: name) (39: rating) (81: releaseyear) (115: hasmultiplayer) (127: playerperspective) (151: genres)
"inform(name[Warcraft III: Reign of Chaos], release_year[2002], rating[excellent], genres[real-time strategy], player_perspective[bird view], has_multiplayer[yes])",Warcraft III: Reign of Chaos is an excellent multiplayer real-time strategy game with a bird's eye perspective. It came out in 2002.,(0: da) (0: name) (36: rating) (46: hasmultiplayer) (58: genres) (89: playerperspective) (130: releaseyear)
"inform(name[Warcraft III: Reign of Chaos], release_year[2002], rating[excellent], genres[real-time strategy], player_perspective[bird view], has_multiplayer[yes])",Warcraft III: Reign of Chaos is a real-time strategy game with bird's eye view player perspective and multiplayer. It was released in 2002 and received excellent reviews.,(0: da) (0: name) (35: genres) (64: playerperspective) (104: hasmultiplayer) (137: releaseyear) (154: rating)
"request_explanation(developer[Ninja Theory], rating[excellent], genres[adventure, hack-and-slash, indie])",What is it about Ninja Theory's indie hack-and-slash adventure games that you find so unique?,(0: da) (17: developer) (33: genres) (86: rating)
"request_explanation(developer[Ninja Theory], rating[excellent], genres[adventure, hack-and-slash, indie])",Is there something special about Ninja Theory's indie hack-and-slash adventure games that makes you find them so appealing?,(0: da) (19: rating) (33: developer) (49: genres)
"request_explanation(developer[Ninja Theory], rating[excellent], genres[adventure, hack-and-slash, indie])",Why do you think that Ninja Theory's indie hack-and-slash adventure games are some of the best you ever played?,(0: da) (22: developer) (38: genres) (91: rating)
"inform(name[Uncharted 4: A Thief's End], release_year[2016], developer[Naughty Dog], rating[excellent], genres[action-adventure, shooter], player_perspective[third person], platforms[PlayStation])","Uncharted 4: A Thief's End, by Naughty Dog came out 2016 with excellent ratings. It's an action-adventure third person shooter game exclusively for the PlayStation platform.",(0: da) (0: name) (34: developer) (55: releaseyear) (64: rating) (94: genres) (111: playerperspective) (157: platforms)
"inform(name[Uncharted 4: A Thief's End], release_year[2016], developer[Naughty Dog], rating[excellent], genres[action-adventure, shooter], player_perspective[third person], platforms[PlayStation])","If you're looking for an excellent third person, action-adventure shooter, you should try Naughty Dog's Uncharted 4: A Thief's End from 2016. It's available on PlayStation.",(0: da) (25: rating) (36: playerperspective) (51: genres) (93: developer) (108: name) (142: releaseyear) (167: platforms)
"inform(name[Uncharted 4: A Thief's End], release_year[2016], developer[Naughty Dog], rating[excellent], genres[action-adventure, shooter], player_perspective[third person], platforms[PlayStation])","Uncharted 4: A Thief's End is an excellent third person action-adventure with shooter elements that came out in 2016. It was released as a PlayStation exclusive by the developer, Naughty Dog.",(0: da) (0: name) (34: rating) (45: playerperspective) (58: genres) (114: releaseyear) (141: platforms) (182: developer)
"suggest(name[The Sims], genres[simulation, strategy], platforms[PC])","I'm curious, have you ever played any strategy simulators for the PC, such as The Sims?",(0: da) (40: genres) (67: platforms) (81: name)
"suggest(name[The Sims], genres[simulation, strategy], platforms[PC])","Do you like to play strategy simulation games on PC, like The Sims?",(0: da) (20: genres) (49: platforms) (59: name)
"suggest(name[The Sims], genres[simulation, strategy], platforms[PC])",Do you also like PC simulation strategy games like The Sims?,(0: da) (17: platforms) (20: genres) (51: name)
"request_explanation(rating[good], has_multiplayer[yes])",What about multiplayer games do you find enjoyable?,(0: da) (11: hasmultiplayer) (41: rating)
"request_explanation(rating[good], has_multiplayer[yes])",You like multiplayer games quite a bit. Can you tell me why that is?,(0: da) (4: rating) (9: hasmultiplayer)
"request_explanation(rating[good], has_multiplayer[yes])","So I'm curious, why is it you seem to enjoy multiplayer games?",(0: da) (39: rating) (45: hasmultiplayer)
"inform(name[Layers of Fear], developer[Bloober Team], rating[poor], genres[adventure, indie, point-and-click], player_perspective[first person])","Layers of Fear is an adventure point-and-click indie game that the Bloober Team developed with first person support, though it's received some poor ratings.",(0: da) (0: name) (21: genres) (67: developer) (95: playerperspective) (144: rating)
"inform(name[Layers of Fear], developer[Bloober Team], rating[poor], genres[adventure, indie, point-and-click], player_perspective[first person])","Layers of Fear is a poorly reviewed indie point-and-click, first person adventure game developed by Bloober Team.",(0: da) (0: name) (20: rating) (36: genres) (60: playerperspective) (101: developer)
"inform(name[Layers of Fear], developer[Bloober Team], rating[poor], genres[adventure, indie, point-and-click], player_perspective[first person])",Layers of Fear is a poor indie adventure game by Bloober Team. The point-and-click is in first person only.,(0: da) (0: name) (20: rating) (25: genres) (49: developer) (90: playerperspective)
"confirm(name[Worms: Reloaded], player_perspective[side view], available_on_steam[yes])","Are you talking about the side view game Worms: Reloaded, the one that is available on Steam?",(0: da) (26: playerperspective) (41: name) (88: availableonsteam)
"confirm(name[Worms: Reloaded], player_perspective[side view], available_on_steam[yes])","Do you mean the Worms: Reloaded with a side view, released on Steam?",(0: da) (16: name) (40: playerperspective) (63: availableonsteam)
"confirm(name[Worms: Reloaded], player_perspective[side view], available_on_steam[yes])",Is the Worms: Reloaded you mentioned the one on Steam with the side view perspective?,(0: da) (7: name) (49: availableonsteam) (64: playerperspective)
