mr,ref
"name[Assetto Corsa], releaseyear[2014], genres[driving/racing; simulation; sport], platforms[PlayStation; Xbox; PC], availableonsteam[yes], haslinuxrelease[yes], hasmacrelease[no]","Assetto Corsa is a sport racing simulator that can be played on PlayStation, Xbox, and PC. This 2014 game is available on Steam and has a Linux release but no Mac release."
"name[Assetto Corsa], genres[driving/racing; simulation; sport], platforms[PlayStation; Xbox; PC], position[outer]","assetto corsa is a sport racing simulator that can be played on playstation, xbox, and pc."
"releaseyear[2014], availableonsteam[yes], haslinuxrelease[yes], hasmacrelease[no], position[inner]",this 2014 game is available on steam and has a linux release but no mac release.
"name[Assetto Corsa], releaseyear[2014], genres[driving/racing; simulation; sport], platforms[PlayStation; Xbox; PC], availableonsteam[yes], haslinuxrelease[yes], hasmacrelease[no]","Hey, maybe look into Assetto Corsa. It's a 2014 sport racing simulator for the PlayStation, Xbox, and PC. It's available on Steam and has Linux support, but no Mac support."
"name[Assetto Corsa], position[outer]","hey, maybe look into assetto corsa."
"name[Assetto Corsa], releaseyear[2014], genres[driving/racing; simulation; sport], platforms[PlayStation; Xbox; PC], position[inner]","it's a 2014 sport racing simulator for the playstation, xbox, and pc."
"name[Assetto Corsa], availableonsteam[yes], haslinuxrelease[yes], hasmacrelease[no], position[inner]","it's available on steam and has linux support, but no mac support."
"name[Assetto Corsa], releaseyear[2014], genres[driving/racing; simulation; sport], platforms[PlayStation; Xbox; PC], availableonsteam[yes], haslinuxrelease[yes], hasmacrelease[no]","If you are looking for a new driving/racing simulation sport game, Assetto Corsa is available for PlayStation, Xbox, and PC. It was released in 2014 and is available on Steam. There is a Linux release, but not Mac."
"name[Assetto Corsa], genres[driving/racing; simulation; sport], platforms[PlayStation; Xbox; PC], position[outer]","if you are looking for a new driving/racing simulation sport game, assetto corsa is available for playstation, xbox, and pc."
"name[Assetto Corsa], releaseyear[2014], availableonsteam[yes], position[inner]",it was released in 2014 and is available on steam.
"haslinuxrelease[yes], hasmacrelease[no], position[inner]","there is a linux release, but not mac."
"name[The Room], rating[excellent], genres[indie; point-and-click; puzzle]",The Room is an excellent indie point-and-click game with fun puzzle solving.
"name[The Room], rating[excellent], genres[indie; point-and-click; puzzle]","You should try the Room, it's an excellent point-and-click indie puzzle game."
"name[The Room], rating[excellent], genres[indie; point-and-click; puzzle]","This indie game, The Room, is an excellent puzzle point-and-click experience."
"name[The Sims], developer[Maxis], rating[good], genres[simulation; strategy], playerperspective[bird view]","If you want to play a simulation strategy game with good ratings, try The Sims developed by Maxis. It gives players a bird view perspective."
"name[The Sims], developer[Maxis], rating[good], genres[simulation; strategy], position[outer]","if you want to play a simulation strategy game with good ratings, try the sims developed by maxis."
"name[The Sims], playerperspective[bird view], position[inner]",it gives players a bird view perspective.
"name[The Sims], developer[Maxis], rating[good], genres[simulation; strategy], playerperspective[bird view]",The Sims is a good simulation and strategy game with a bird view perspective. It was made by Maxis.
"name[The Sims], rating[good], genres[simulation; strategy], playerperspective[bird view], position[outer]",the sims is a good simulation and strategy game with a bird view perspective.
"name[The Sims], developer[Maxis], position[inner]",it was made by maxis.
"name[The Sims], developer[Maxis], rating[good], genres[simulation; strategy], playerperspective[bird view]",The Sims by Maxis is a good simulation strategy game with a bird view perspective.
"name[StarCraft], releaseyear[1998], genres[real-time strategy], hasmultiplayer[yes], platforms[PC], availableonsteam[no], haslinuxrelease[no], hasmacrelease[yes]","You might find StarCraft fun. It's a multiplayer RTS from 1998 for PC. It's not available on Steam and has Mac support, but no Linux support."
"name[StarCraft], position[outer]",you might find starcraft fun.
"name[StarCraft], releaseyear[1998], genres[real-time strategy], hasmultiplayer[yes], platforms[PC], position[inner]",it's a multiplayer rts from 1998 for pc.
"name[StarCraft], availableonsteam[no], haslinuxrelease[no], hasmacrelease[yes], position[inner]","it's not available on steam and has mac support, but no linux support."
"name[StarCraft], releaseyear[1998], genres[real-time strategy], hasmultiplayer[yes], platforms[PC], availableonsteam[no], haslinuxrelease[no], hasmacrelease[yes]","StarCraft is a real-time strategy with multiplayer and is available on PC. It is not available on Steam and does not have a Linux release, but it is available for Mac. It was released in 1998."
"name[StarCraft], genres[real-time strategy], hasmultiplayer[yes], platforms[PC], position[outer]",starcraft is a real-time strategy with multiplayer and is available on pc.
"name[StarCraft], availableonsteam[no], haslinuxrelease[no], hasmacrelease[yes], position[inner]","it is not available on steam and does not have a linux release, but it is available for mac."
"name[StarCraft], releaseyear[1998], position[inner]",it was released in 1998.
"name[StarCraft], releaseyear[1998], genres[real-time strategy], hasmultiplayer[yes], platforms[PC], availableonsteam[no], haslinuxrelease[no], hasmacrelease[yes]","StarCraft is a game for the PC that was released in 1998. This game is a multiplayer real-time strategy game that is available on Mac, but not on Steam or Linux."
"name[StarCraft], releaseyear[1998], platforms[PC], position[outer]",starcraft is a game for the pc that was released in 1998.
"genres[real-time strategy], hasmultiplayer[yes], availableonsteam[no], haslinuxrelease[no], hasmacrelease[yes], position[inner]","this game is a multiplayer real-time strategy game that is available on mac, but not on steam or linux."
"name[Warcraft III: Reign of Chaos], releaseyear[2002], genres[real-time strategy], playerperspective[bird view], platforms[PC], availableonsteam[no]",Warcraft III: Reign of Chaos is a real-time strategy PC game. It was created in 2002 and offers a bird view perspective. It isn't available on Steam.
"name[Warcraft III: Reign of Chaos], genres[real-time strategy], platforms[PC], position[outer]",warcraft iii: reign of chaos is a real-time strategy pc game.
"name[Warcraft III: Reign of Chaos], releaseyear[2002], playerperspective[bird view], position[inner]",it was created in 2002 and offers a bird view perspective.
"name[Warcraft III: Reign of Chaos], availableonsteam[no], position[inner]",it isn't available on steam.
"name[Warcraft III: Reign of Chaos], releaseyear[2002], genres[real-time strategy], playerperspective[bird view], platforms[PC], availableonsteam[no]","You may like Warcraft III: Reign of Chaos. It's a bird's eye view RTS from 2002 for the PC, but it's not available on Steam."
"name[Warcraft III: Reign of Chaos], position[outer]",you may like warcraft iii: reign of chaos.
"name[Warcraft III: Reign of Chaos], releaseyear[2002], genres[real-time strategy], playerperspective[bird view], platforms[PC], availableonsteam[no], position[inner]","it's a bird's eye view rts from 2002 for the pc, but it's not available on steam."
"name[Warcraft III: Reign of Chaos], releaseyear[2002], genres[real-time strategy], playerperspective[bird view], platforms[PC], availableonsteam[no]",Warcraft III: Reign of Chaos is a PC game that was released in 2002. This is a real-time strategy game that is played in bird view perspective. This game is unfortunately not available on Steam.
"name[Warcraft III: Reign of Chaos], releaseyear[2002], platforms[PC], position[outer]",warcraft iii: reign of chaos is a pc game that was released in 2002.
"genres[real-time strategy], playerperspective[bird view], position[inner]",this is a real-time strategy game that is played in bird view perspective.
"availableonsteam[no], position[inner]",this game is unfortunately not available on steam.
"name[The Wolf Among Us], releaseyear[2013], developer[Telltale Games], rating[good], genres[adventure; point-and-click], playerperspective[third person]",The Wolf Among Us is a good third person point-and-click adventure game. It was developed by Telltale Games in 2013.
"name[The Wolf Among Us], rating[good], genres[adventure; point-and-click], playerperspective[third person], position[outer]",the wolf among us is a good third person point-and-click adventure game.
"name[The Wolf Among Us], releaseyear[2013], developer[Telltale Games], position[inner]",it was developed by telltale games in 2013.
"name[The Wolf Among Us], releaseyear[2013], developer[Telltale Games], rating[good], genres[adventure; point-and-click], playerperspective[third person]",Telltale Games also made The Wolf Among Us in 2013. It's a good third person point-and-click adventure game.
"name[The Wolf Among Us], releaseyear[2013], developer[Telltale Games], position[outer]",telltale games also made the wolf among us in 2013.
"name[The Wolf Among Us], rating[good], genres[adventure; point-and-click], playerperspective[third person], position[inner]",it's a good third person point-and-click adventure game.
"name[The Wolf Among Us], releaseyear[2013], developer[Telltale Games], rating[good], genres[adventure; point-and-click], playerperspective[third person]",The Wolf Among Us is a good game that was released in 2013. It is classified as an adventure and point-and-click type game genre. It is in the third person perspective and the developer is Telltale Games.
"name[The Wolf Among Us], releaseyear[2013], rating[good], position[outer]",the wolf among us is a good game that was released in 2013.
"name[The Wolf Among Us], genres[adventure; point-and-click], position[inner]",it is classified as an adventure and point-and-click type game genre.
"name[The Wolf Among Us], developer[Telltale Games], playerperspective[third person], position[inner]",it is in the third person perspective and the developer is telltale games.
"name[Horizon: Zero Dawn], releaseyear[2017], esrb[T (for Teen)], genres[action-adventure; role-playing; shooter], playerperspective[third person], hasmultiplayer[no], platforms[PlayStation]",Horizon: Zero Dawn is a third person action-adventure shooter RPG from 2017. This PlayStation game has no multiplayer and is rated T (for Teen).
"name[Horizon: Zero Dawn], releaseyear[2017], genres[action-adventure; role-playing; shooter], playerperspective[third person], position[outer]",horizon: zero dawn is a third person action-adventure shooter rpg from 2017.
"esrb[T (for Teen)], hasmultiplayer[no], platforms[PlayStation], position[inner]",this playstation game has no multiplayer and is rated t (for teen).
