mr,ref,score,,
nan,"There is a restaurant called Alimentum in the riverside area, but it is not family friendly.",3,,0.97752809
nan,Alimentum is a family friendly restaurant near Burger King but it has a low customer rating.,3,,
nan,Aromi is a Chinese coffee shop near &slot_con_near&. It is kid friendly but has a low customer rating.,3,,
nan,"Aromi is a Chinese coffee shop with a 5 out of 5 customer rating. It is located in the riverside area, but is not family-friendly.",3,,
nan,"There is a coffee shop called Aromi that serves Chinese food, but it is not family-friendly.",3,,
nan,"Aromi is a coffee shop that serves Chinese food. It is located in riverside, but has a low customer rating.",3,,
nan,Aromi is a Chinese coffee shop that is not family-friendly but has a low customer rating. It is located in the riverside area.,3,,
nan,"Aromi is a coffee shop that serves English food. It is located in riverside, but has a customer rating of 1 out of 5.",3,,
nan,Aromi is a coffee shop in the city centre that serves English food. It is family friendly but has a low customer rating.,3,,
nan,"Aromi is a family friendly coffee shop serving English food in the riverside area. However, it has a low customer rating.",3,,
nan,Browns Cambridge is a Chinese coffee shop. It is located in riverside near Crowne Plaza Hotel. It is children friendly but has a low customer rating.,3,,
nan,Browns Cambridge is a Chinese coffee shop located near Crowne Plaza Hotel in the city centre. It is not family-friendly but has a customer rating of 5 out of 5.,3,,
nan,Browns Cambridge is a Chinese coffee shop located near Crowne Plaza Hotel in the city centre. It is not family-friendly but has a customer rating of 5 out of 5.,3,,
nan,Browns Cambridge is a Chinese coffee shop near Crowne Plaza Hotel. It is not family-friendly but has a customer rating of 5 out of 5.,3,,
nan,Browns Cambridge is a riverside coffee shop near Crowne Plaza Hotel. It is not family-friendly but has an average customer rating.,3,,
nan,"Browns Cambridge is a coffee shop that serves Chinese food. It is located in the city centre near Crowne Plaza Hotel, but has a low customer rating.",3,,
nan,"Browns Cambridge is a Chinese coffee shop near the Crowne Plaza Hotel. It is not family-friendly, but has a low customer rating. It is located in the riverside area.",3,,
nan,Browns Cambridge is a coffee shop serving English food in the riverside area. It is kid friendly but has a low customer rating. It is located near Crowne Plaza Hotel.,3,,
nan,Browns Cambridge is an English coffee shop near Crowne Plaza Hotel. It is not family-friendly but has a customer rating of 5 out of 5.,3,,
nan,"Browns Cambridge is a coffee shop near Crowne Plaza Hotel in the city centre. It has an average customer rating, but is family friendly.",3,,
nan,"Browns Cambridge is a coffee shop that serves English food. It is located in the city centre near Crowne Plaza Hotel, but has a low customer rating.",3,,
nan,Clowns is an English coffee shop near Clare Hall. It is kid friendly but has a customer rating of 1 out of 5.,3,,
nan,Clowns is a family friendly coffee shop near Clare Hall that serves English food but has a low customer rating.,3,,
nan,Cocum is a cheap coffee shop serving Chinese food with a customer rating of 5 out of 5 but not family-friendly.,3,,
nan,"Cocum is a cheap Chinese coffee shop with an average customer rating, but is not family-friendly.",3,,
nan,Cocum is a coffee shop that serves Chinese food. It is family friendly but has an average customer rating.,3,,
