mr,ref,score,,
nan,There is a restaurant called Alimentum in the city centre that is not family-friendly.,1,,1
nan,There is a restaurant near Burger King in the city centre called Alimentum which is not family-friendly.,1,,
nan,There is a restaurant called Alimentum in the riverside area that is not family-friendly.,1,,
nan,There is a place called Alimentum near Burger King that is not family-friendly.,1,,
nan,There is a place called Alimentum in the riverside area that is child friendly.,1,,
nan,There is a place called Alimentum that is located near Burger King in the riverside area.,1,,
nan,Aromi is a Chinese coffee shop in the riverside area that is kid friendly and has a customer rating of 1 out of 5.,1,,
nan,Aromi is a Chinese coffee shop in the riverside area that is kid friendly and has a customer rating of 3 out of 5.,1,,
nan,Aromi is a Chinese coffee shop that is located in the city centre. It is not family-friendly and has a customer rating of 5 out of 5.,1,,
nan,Aromi is a family-friendly coffee shop that serves Chinese food. It is located in the city centre and has a customer rating of 5 out of 5.,1,,
nan,Aromi is a Chinese coffee shop that is not family-friendly. It is located in riverside and has a customer rating of 5 out of 5.,1,,
nan,Aromi is a family friendly coffee shop that serves Chinese food. It is located in riverside and has a customer rating of 5 out of 5.,1,,
nan,Aromi is a coffee shop in the city centre that serves Chinese food. It is not family-friendly and has an average customer rating.,1,,
nan,Aromi is a family-friendly coffee shop that serves Chinese food. It is located in the city centre and has an average customer rating.,1,,
nan,Aromi is a coffee shop in the riverside area that serves Chinese food. It has an average customer rating and is not family-friendly.,1,,
nan,Aromi is a coffee shop in the riverside area that serves Chinese food. It is family friendly and has an average customer rating.,1,,
nan,Aromi is a Chinese coffee shop in the riverside area that is child friendly and has a high customer rating.,1,,
nan,Aromi is a Chinese coffee shop in the city centre that is not family-friendly and has a low customer rating.,1,,
nan,Aromi is a family-friendly coffee shop that serves Chinese food. It is located in the city centre and has a low customer rating.,1,,
nan,Aromi is a family friendly coffee shop that serves Chinese food. It is located in riverside and has a low customer rating.,1,,
nan,Aromi is a kid friendly coffee shop that serves English food. It is located in riverside and has a customer rating of 1 out of 5.,1,,
nan,Aromi is a kid friendly coffee shop that serves English food. It is located in riverside and has a customer rating of 3 out of 5.,1,,
nan,Aromi is a coffee shop that serves English food with a customer rating of 5 out of 5. it is located in the city centre and is not family-friendly.,1,,
nan,Aromi is a family-friendly coffee shop that serves English food. It is located in the city centre and has a customer rating of 5 out of 5.,1,,
nan,There is a coffee shop Aromi located in the riverside that provides English food. It is not family-friendly and has a customer rating of 5 out of 5.,1,,
nan,Aromi is a family friendly coffee shop that serves English food. It is located in riverside and has a customer rating of 5 out of 5.,1,,
nan,Aromi is a coffee shop in the city centre that serves English food. It is not family-friendly and has an average customer rating.,1,,
nan,Aromi is a coffee shop that serves English food. It has an average customer rating and is located in the city centre.,1,,
nan,Aromi is an English coffee shop in the riverside area that is not family-friendly and has an average customer rating.,1,,
nan,Aromi is a coffee shop in the riverside area that serves English food. It is family friendly and has an average customer rating.,1,,
nan,Aromi is a coffee shop in the riverside area that serves English food. It has a high customer rating and is child friendly.,1,,
nan,Aromi is a coffee shop in the city centre that serves English food. It is not family-friendly and has a low customer rating.,1,,
nan,There is a family-friendly coffee shop Aromi located in the city centre that provides English food.,1,,
nan,Aromi is a coffee shop in the riverside area that serves English food. It is not family friendly and has a low customer rating.,1,,
nan,Aromi is a family friendly coffee shop that serves English food. It is located in riverside and has a low customer rating.,1,,
nan,Browns Cambridge is a coffee shop that serves Chinese food. It is located near Crowne Plaza Hotel in the riverside area. It is kid friendly and has a customer rating of 1 out of 5.,1,,
nan,Browns Cambridge is a kid friendly coffee shop that serves Chinese food. It is located near Crowne Plaza Hotel in the riverside area. It has a customer rating of 3 out of 5.,1,,
nan,Browns Cambridge is a coffee shop that serves Chinese food. It is located near Crowne Plaza Hotel in the city centre. It is not family-friendly and has a customer rating of 5 out of 5.,1,,
nan,Browns Cambridge is a family-friendly coffee shop that serves Chinese food. It is located near Crowne Plaza Hotel in the city centre. It has a customer rating of 5 out of 5.,1,,
nan,Browns Cambridge is a coffee shop that serves Chinese food. It is located near Crowne Plaza Hotel in the riverside area. It is not family-friendly and has a customer rating of 5 out of 5.,1,,
nan,Browns Cambridge is a family-friendly coffee shop that serves Chinese food. It is located near Crowne Plaza Hotel in the riverside area.,1,,
nan,Browns Cambridge is a coffee shop that serves Chinese food. It is located near the Crowne Plaza Hotel in the city centre. It has an average customer rating and is not family-friendly.,1,,
nan,Browns Cambridge is a coffee shop that serves Chinese food. It is located near Crowne Plaza Hotel in the city centre. It has an average customer rating and is family-friendly.,1,,
