name,release_year,exp_release_date,developer,esrb,rating,genres,player_perspective,has_multiplayer,platforms,available_on_steam,has_linux_release,has_mac_release
<b>The Witcher 3: Wild Hunt</b>,Year: <b>2015</b>,,,ESRB: <b>M (for Mature)</b>,Liking/Rating: <b>excellent</b>,"Genres: <b>action-adventure, role-playing</b>",Player perspective: <b>third person</b>,,,,,
<b>The Witcher 3: Wild Hunt</b>,,,,,Liking/Rating: <b>excellent</b>,"Genres: <b>action-adventure, role-playing</b>",Player perspective: <b>third person</b>,,"Platforms: <b>PlayStation, Xbox, PC</b>",Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>no</b>
<b>The Witcher 3: Wild Hunt</b>,Year: <b>2015</b>,,,,Liking/Rating: <b>excellent</b>,"Genres: <b>action-adventure, role-playing</b>",,Has multiplayer: <b>no</b>,"Platforms: <b>PlayStation, Xbox, PC</b>",Available on Steam: <b>yes</b>,,
<b>The Witcher 3: Wild Hunt</b>,,,Developer: <b>CD Projekt RED</b>,ESRB: <b>M (for Mature)</b>,Liking/Rating: <b>excellent</b>,"Genres: <b>action-adventure, role-playing</b>",,,,,,
<b>The Witcher 3: Wild Hunt</b>,Year: <b>2015</b>,,,,Liking/Rating: <b>excellent</b>,"Genres: <b>action-adventure, role-playing</b>",,,"Platforms: <b>PlayStation, Xbox, PC</b>",,,
<b>The Witcher 3: Wild Hunt</b>,,,,,,"Genres: <b>action-adventure, role-playing</b>",Player perspective: <b>third person</b>,,"Platforms: <b>PlayStation, Xbox, PC</b>",Available on Steam: <b>yes</b>,,
<b>The Witcher 3: Wild Hunt</b>,,,,ESRB: <b>M (for Mature)</b>,Liking/Rating: <b>excellent</b>,"Genres: <b>action-adventure, role-playing</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,,,,
<b>The Witcher 3: Wild Hunt</b>,,,,,,"Genres: <b>action-adventure, role-playing</b>",,Has multiplayer: <b>no</b>,,,,
<b>The Witcher 3: Wild Hunt</b>,Year: <b>2015</b>,,Developer: <b>CD Projekt RED</b>,ESRB: <b>M (for Mature)</b>,Liking/Rating: <b>excellent</b>,"Genres: <b>action-adventure, role-playing</b>",Player perspective: <b>third person</b>,,,,,
<b>The Witcher 3: Wild Hunt</b>,,,,,,"Genres: <b>action-adventure, role-playing</b>",,,"Platforms: <b>PlayStation, Xbox, PC</b>",Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>no</b>
<b>God of War</b>,,,Developer: <b>SIE Santa Monica Studio</b>,ESRB: <b>M (for Mature)</b>,Liking/Rating: <b>excellent</b>,"Genres: <b>action-adventure, platformer, role-playing</b>",,Has multiplayer: <b>no</b>,Platforms: <b>PlayStation</b>,,,
<b>God of War</b>,Year: <b>2018</b>,,,ESRB: <b>M (for Mature)</b>,Liking/Rating: <b>excellent</b>,"Genres: <b>action-adventure, platformer, role-playing</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,Platforms: <b>PlayStation</b>,,,
<b>God of War</b>,Year: <b>2018</b>,,Developer: <b>SIE Santa Monica Studio</b>,,Liking/Rating: <b>excellent</b>,"Genres: <b>action-adventure, platformer, role-playing</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,Platforms: <b>PlayStation</b>,,,
<b>God of War</b>,,,Developer: <b>SIE Santa Monica Studio</b>,,Liking/Rating: <b>excellent</b>,"Genres: <b>action-adventure, platformer, role-playing</b>",Player perspective: <b>third person</b>,,Platforms: <b>PlayStation</b>,,,
<b>God of War</b>,Year: <b>2018</b>,,,,Liking/Rating: <b>excellent</b>,"Genres: <b>action-adventure, platformer, role-playing</b>",Player perspective: <b>third person</b>,,Platforms: <b>PlayStation</b>,,,
<b>God of War</b>,Year: <b>2018</b>,,Developer: <b>SIE Santa Monica Studio</b>,,Liking/Rating: <b>excellent</b>,"Genres: <b>action-adventure, platformer, role-playing</b>",Player perspective: <b>third person</b>,,Platforms: <b>PlayStation</b>,,,
<b>God of War</b>,Year: <b>2018</b>,,,,Liking/Rating: <b>excellent</b>,"Genres: <b>action-adventure, platformer, role-playing</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,,,,
<b>God of War</b>,Year: <b>2018</b>,,Developer: <b>SIE Santa Monica Studio</b>,,Liking/Rating: <b>excellent</b>,"Genres: <b>action-adventure, platformer, role-playing</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,,,,
<b>God of War</b>,,,,,Liking/Rating: <b>excellent</b>,"Genres: <b>action-adventure, platformer, role-playing</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,Platforms: <b>PlayStation</b>,,,
<b>God of War</b>,Year: <b>2018</b>,,,,Liking/Rating: <b>excellent</b>,"Genres: <b>action-adventure, platformer, role-playing</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,Platforms: <b>PlayStation</b>,,,
<b>The Last of Us</b>,Year: <b>2013</b>,,,,Liking/Rating: <b>excellent</b>,"Genres: <b>action-adventure, shooter</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>yes</b>,Platforms: <b>PlayStation</b>,,,
<b>The Last of Us</b>,Year: <b>2013</b>,,,ESRB: <b>M (for Mature)</b>,Liking/Rating: <b>excellent</b>,"Genres: <b>action-adventure, shooter</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>yes</b>,Platforms: <b>PlayStation</b>,,,
<b>The Last of Us</b>,,,Developer: <b>Naughty Dog</b>,ESRB: <b>M (for Mature)</b>,Liking/Rating: <b>excellent</b>,"Genres: <b>action-adventure, shooter</b>",Player perspective: <b>third person</b>,,Platforms: <b>PlayStation</b>,,,
<b>The Last of Us</b>,Year: <b>2013</b>,,Developer: <b>Naughty Dog</b>,ESRB: <b>M (for Mature)</b>,,"Genres: <b>action-adventure, shooter</b>",Player perspective: <b>third person</b>,,Platforms: <b>PlayStation</b>,,,
<b>The Last of Us</b>,Year: <b>2013</b>,,,,Liking/Rating: <b>excellent</b>,"Genres: <b>action-adventure, shooter</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>yes</b>,,,,
<b>The Last of Us</b>,Year: <b>2013</b>,,,ESRB: <b>M (for Mature)</b>,,"Genres: <b>action-adventure, shooter</b>",Player perspective: <b>third person</b>,,,,,
<b>The Last of Us</b>,Year: <b>2013</b>,,,,Liking/Rating: <b>excellent</b>,"Genres: <b>action-adventure, shooter</b>",Player perspective: <b>third person</b>,,Platforms: <b>PlayStation</b>,,,
<b>The Last of Us</b>,Year: <b>2013</b>,,,,,"Genres: <b>action-adventure, shooter</b>",,,Platforms: <b>PlayStation</b>,,,
<b>The Last of Us</b>,,,Developer: <b>Naughty Dog</b>,ESRB: <b>M (for Mature)</b>,Liking/Rating: <b>excellent</b>,"Genres: <b>action-adventure, shooter</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>yes</b>,Platforms: <b>PlayStation</b>,,,
<b>The Last of Us</b>,,,Developer: <b>Naughty Dog</b>,ESRB: <b>M (for Mature)</b>,Liking/Rating: <b>excellent</b>,"Genres: <b>action-adventure, shooter</b>",,,,,,
<b>Silent Hill 2</b>,Year: <b>2001</b>,,,,,"Genres: <b>action-adventure, puzzle</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,,,,
<b>Silent Hill 2</b>,Year: <b>2001</b>,,Developer: <b>Konami Computer Entertainment Tokyo</b>,ESRB: <b>M (for Mature)</b>,Liking/Rating: <b>excellent</b>,"Genres: <b>action-adventure, puzzle</b>",,,,,,
<b>Silent Hill 2</b>,,,Developer: <b>Konami Computer Entertainment Tokyo</b>,ESRB: <b>M (for Mature)</b>,Liking/Rating: <b>excellent</b>,"Genres: <b>action-adventure, puzzle</b>",Player perspective: <b>third person</b>,,,,,
<b>Silent Hill 2</b>,Year: <b>2001</b>,,,,Liking/Rating: <b>excellent</b>,"Genres: <b>action-adventure, puzzle</b>",Player perspective: <b>third person</b>,,,,,
<b>Silent Hill 2</b>,Year: <b>2001</b>,,,,Liking/Rating: <b>excellent</b>,"Genres: <b>action-adventure, puzzle</b>",,,,,,
<b>Silent Hill 2</b>,Year: <b>2001</b>,,,ESRB: <b>M (for Mature)</b>,Liking/Rating: <b>excellent</b>,"Genres: <b>action-adventure, puzzle</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,,,,
<b>Silent Hill 2</b>,,,,,Liking/Rating: <b>excellent</b>,"Genres: <b>action-adventure, puzzle</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,,,,
<b>Silent Hill 2</b>,,,,ESRB: <b>M (for Mature)</b>,,"Genres: <b>action-adventure, puzzle</b>",,,,,,
