name,release_year,exp_release_date,developer,esrb,rating,genres,player_perspective,has_multiplayer,platforms,available_on_steam,has_linux_release,has_mac_release
<b>The Last of Us</b>,,,Developer: <b>Naughty Dog</b>,ESRB: <b>M (for Mature)</b>,Liking/Rating: <b>excellent</b>,"Genres: <b>action-adventure, shooter</b>",,,,,,
<b>Assetto Corsa</b>,Year: <b>2014</b>,,,,,"Genres: <b>driving/racing, simulation, sport</b>",,,"Platforms: <b>PlayStation, Xbox, PC</b>",Available on Steam: <b>yes</b>,Has a Linux release: <b>yes</b>,Has a Mac release: <b>no</b>
<b>TrackMania Turbo</b>,Year: <b>2016</b>,,,,Liking/Rating: <b>good</b>,"Genres: <b>arcade, driving/racing</b>",,,"Platforms: <b>PlayStation, Xbox, PC</b>",Available on Steam: <b>yes</b>,,
<b>The Room</b>,,,,,Liking/Rating: <b>excellent</b>,"Genres: <b>indie, point-and-click, puzzle</b>",,,,,,
<b>Max Payne</b>,Year: <b>2001</b>,,Developer: <b>Remedy Entertainment</b>,,,"Genres: <b>action-adventure, shooter</b>",,,"Platforms: <b>PlayStation, Xbox, PC</b>",Available on Steam: <b>yes</b>,,
<b>The Sims</b>,,,Developer: <b>Maxis</b>,,Liking/Rating: <b>good</b>,"Genres: <b>simulation, strategy</b>",Player perspective: <b>bird view</b>,,,,,
<b>StarCraft</b>,Year: <b>1998</b>,,,,,Genres: <b>real-time strategy</b>,,Has multiplayer: <b>yes</b>,Platforms: <b>PC</b>,Available on Steam: <b>no</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>yes</b>
<b>Worms: Reloaded</b>,Year: <b>2010</b>,,,ESRB: <b>E 10+ (for Everyone 10 and Older)</b>,Liking/Rating: <b>average</b>,"Genres: <b>action, platformer, strategy</b>",Player perspective: <b>side view</b>,Has multiplayer: <b>yes</b>,,,,
<b>Warcraft III: Reign of Chaos</b>,Year: <b>2002</b>,,,,,Genres: <b>real-time strategy</b>,Player perspective: <b>bird view</b>,,Platforms: <b>PC</b>,Available on Steam: <b>no</b>,,
<b>The Wolf Among Us</b>,Year: <b>2013</b>,,Developer: <b>Telltale Games</b>,,Liking/Rating: <b>good</b>,"Genres: <b>adventure, point-and-click</b>",Player perspective: <b>third person</b>,,,,,
<b>Horizon: Zero Dawn</b>,Year: <b>2017</b>,,,ESRB: <b>T (for Teen)</b>,,"Genres: <b>action-adventure, role-playing, shooter</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,Platforms: <b>PlayStation</b>,,,
<b>Tom Clancy's Splinter Cell: Chaos Theory</b>,Year: <b>2005</b>,,,,Liking/Rating: <b>good</b>,"Genres: <b>action, tactical</b>","Player perspective: <b>first person, third person</b>",Has multiplayer: <b>yes</b>,,,,
<b>Ori and the Blind Forest</b>,Year: <b>2015</b>,,,,Liking/Rating: <b>excellent</b>,"Genres: <b>adventure, platformer, puzzle</b>",,,"Platforms: <b>Xbox, PC</b>",Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>no</b>
<b>SpellForce 3</b>,,,,,Liking/Rating: <b>poor</b>,"Genres: <b>real-time strategy, role-playing</b>",,,,,,
<b>F1 2014</b>,Year: <b>2014</b>,,,,Liking/Rating: <b>average</b>,"Genres: <b>driving/racing, simulation, sport</b>","Player perspective: <b>first person, third person</b>",,"Platforms: <b>PlayStation, Xbox, PC</b>",Available on Steam: <b>yes</b>,,
<b>Rollcage</b>,,,,,,"Genres: <b>action, driving/racing</b>",Player perspective: <b>third person</b>,,,,,
<b>SpellForce 3</b>,,,,,,"Genres: <b>real-time strategy, role-playing</b>",Player perspective: <b>bird view</b>,Has multiplayer: <b>yes</b>,Platforms: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>no</b>
<b>Payday 2</b>,Year: <b>2013</b>,,,,Liking/Rating: <b>average</b>,"Genres: <b>role-playing, shooter</b>",,,,,,
<b>Diablo II</b>,Year: <b>2000</b>,,Developer: <b>Blizzard North</b>,,,"Genres: <b>hack-and-slash, role-playing</b>",Player perspective: <b>bird view</b>,,,,,
<b>Driver</b>,,,,,,"Genres: <b>driving/racing, simulation</b>",Player perspective: <b>third person</b>,,,,,
<b>The Room</b>,,,Developer: <b>Fireproof Games</b>,,,"Genres: <b>indie, point-and-click, puzzle</b>",,,Platforms: <b>PC</b>,Available on Steam: <b>yes</b>,,
<b>Quantum Break</b>,,,,,Liking/Rating: <b>average</b>,"Genres: <b>adventure, shooter</b>",Player perspective: <b>third person</b>,,,,,
<b>Dirt: Showdown</b>,Year: <b>2012</b>,,Developer: <b>Codemasters Southam</b>,ESRB: <b>E 10+ (for Everyone 10 and Older)</b>,,"Genres: <b>driving/racing, sport</b>","Player perspective: <b>first person, third person</b>",,,,,
<b>Horizon: Zero Dawn</b>,,,Developer: <b>Guerrilla Games</b>,ESRB: <b>T (for Teen)</b>,Liking/Rating: <b>excellent</b>,"Genres: <b>action-adventure, role-playing, shooter</b>",Player perspective: <b>third person</b>,,Platforms: <b>PlayStation</b>,,,
<b>Commandos: Behind Enemy Lines</b>,Year: <b>1998</b>,,,ESRB: <b>T (for Teen)</b>,,"Genres: <b>strategy, tactical</b>",,Has multiplayer: <b>yes</b>,,,,
<b>Football Manager 2015</b>,Year: <b>2014</b>,,,,Liking/Rating: <b>good</b>,"Genres: <b>simulation, sport, strategy</b>",,Has multiplayer: <b>yes</b>,,,,
<b>Rocket League</b>,,,,ESRB: <b>E (for Everyone)</b>,,"Genres: <b>sport, vehicular combat</b>",,Has multiplayer: <b>yes</b>,"Platforms: <b>PlayStation, Xbox, Nintendo Switch, PC</b>",Available on Steam: <b>yes</b>,Has a Linux release: <b>yes</b>,Has a Mac release: <b>yes</b>
<b>Tomb Raider: The Angel of Darkness</b>,,,,,Liking/Rating: <b>poor</b>,"Genres: <b>action-adventure, shooter</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,,,,
<b>Metal Gear Solid 3: Snake Eater</b>,,,Developer: <b>Konami Computer Entertainment Japan</b>,,Liking/Rating: <b>excellent</b>,"Genres: <b>action-adventure, shooter, tactical</b>","Player perspective: <b>bird view, first person, third person</b>",Has multiplayer: <b>no</b>,Platforms: <b>PlayStation</b>,,,
<b>God of War</b>,Year: <b>2018</b>,,Developer: <b>SIE Santa Monica Studio</b>,,Liking/Rating: <b>excellent</b>,"Genres: <b>action-adventure, platformer, role-playing</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,Platforms: <b>PlayStation</b>,,,
<b>Need for Speed: Shift</b>,Year: <b>2009</b>,,Developer: <b>Slightly Mad Studios</b>,,Liking/Rating: <b>average</b>,"Genres: <b>driving/racing, simulation</b>","Player perspective: <b>first person, third person</b>",,,,,
<b>Trivial Pursuit</b>,,,Developer: <b>Electronic Arts</b>,,Liking/Rating: <b>poor</b>,Genres: <b>trivia/board game</b>,,Has multiplayer: <b>yes</b>,"Platforms: <b>PlayStation, Nintendo</b>",,,
<b>Shadow of the Tomb Raider</b>,,"Expected release date: <b>September 14, 2018</b>",,,,"Genres: <b>adventure, shooter</b>",Player perspective: <b>third person</b>,,,,,
<b>Heroes of Might and Magic III: The Restoration of Erathia</b>,,,,,Liking/Rating: <b>good</b>,Genres: <b>turn-based strategy</b>,Player perspective: <b>bird view</b>,,,,,
